fabric_code,loom_code,buyer_code,report_period,market_segment,team_leader,buyer_group,product_desc,buyer_name,sales_channel,region,total_invoice_qty,total_prod_per_machine,machine_id
FAB-W0026,LC-4020,BUY-420,202404,APPAREL,Sunita Reddy,SMALL RETAIL,POLY-C Fabric Lot 20,Global Threads Inc,Export,Central,3186,3186,LOOM-GEN0019
FAB-W0027,LC-4021,BUY-421,202403,LUXURY,Ravi Sharma,LARGE RETAIL,SILK-C Fabric Lot 21,Luxe Drapes GmbH,Domestic,West,804,804,LOOM-GEN0020
FAB-W0027,LC-4021,BUY-421,202404,LUXURY,Ravi Sharma,LARGE RETAIL,SILK-C Fabric Lot 21,Luxe Drapes GmbH,Domestic,West,701,701,LOOM-GEN0020
FAB-W0028,LC-4022,BUY-422,202403,HOME TEXTILES,Neha Joshi,EXPORT HOUSE,LINEN-A Fabric Lot 22,HomeDecor Co,Online,South,2345,2345,LOOM-GEN0021
FAB-W0028,LC-4022,BUY-422,202404,HOME TEXTILES,Neha Joshi,EXPORT HOUSE,LINEN-A Fabric Lot 22,HomeDecor Co,Online,South,2309,2309,LOOM-GEN0021
FAB-W0029,LC-4023,BUY-423,202403,APPAREL,Amit Kulkarni,BOUTIQUE,VISCOSE-D Fabric Lot 23,Nordic Fabrics Ltd,Export,North,3242,3242,LOOM-GEN0022
FAB-W0029,LC-4023,BUY-423,202404,APPAREL,Amit Kulkarni,BOUTIQUE,VISCOSE-D Fabric Lot 23,Nordic Fabrics Ltd,Export,North,3302,3302,LOOM-GEN0022
FAB-W0030,LC-4024,BUY-424,202403,LUXURY,Priya Nair,MID RETAIL,MODAL-E Fabric Lot 24,CurtainWorld,Domestic,East,1019,1019,LOOM-GEN0023
FAB-W0030,LC-4024,BUY-424,202404,LUXURY,Priya Nair,MID RETAIL,MODAL-E Fabric Lot 24,CurtainWorld,Domestic,East,1097,1097,LOOM-GEN0023
FAB-W0031,LC-4025,BUY-425,202403,HOME TEXTILES,Suresh Menon,SMALL RETAIL,COTTON-A Fabric Lot 25,Textura Imports,Online,Central,3302,3302,LOOM-GEN0024
FAB-W0031,LC-4025,BUY-425,202404,HOME TEXTILES,Suresh Menon,SMALL RETAIL,COTTON-A Fabric Lot 25,Textura Imports,Online,Central,3174,3174,LOOM-GEN0024
FAB-W0032,LC-4026,BUY-426,202403,APPAREL,Deepa Iyer,LARGE RETAIL,COTTON-B Fabric Lot 26,Weave & Co,Export,West,4500,4500,LOOM-GEN0025
FAB-W0032,LC-4026,BUY-426,202404,APPAREL,Deepa Iyer,LARGE RETAIL,COTTON-B Fabric Lot 26,Weave & Co,Export,West,4623,4623,LOOM-GEN0025
FAB-W0033,LC-4027,BUY-427,202403,LUXURY,Kiran Rao,EXPORT HOUSE,POLY-B Fabric Lot 27,Loomcraft LLC,Domestic,South,3714,3714,LOOM-GEN0026
FAB-W0033,LC-4027,BUY-427,202404,LUXURY,Kiran Rao,EXPORT HOUSE,POLY-B Fabric Lot 27,Loomcraft LLC,Domestic,South,3240,3240,LOOM-GEN0026
FAB-W0034,LC-4028,BUY-428,202403,HOME TEXTILES,Anjali Desai,BOUTIQUE,POLY-C Fabric Lot 28,FabricMart Ltd,Online,North,2185,2185,LOOM-GEN0027
FAB-W0034,LC-4028,BUY-428,202404,HOME TEXTILES,Anjali Desai,BOUTIQUE,POLY-C Fabric Lot 28,FabricMart Ltd,Online,North,2248,2248,LOOM-GEN0027
FAB-W0035,LC-4029,BUY-429,202403,APPAREL,Manoj Pillai,MID RETAIL,SILK-C Fabric Lot 29,Global Threads Inc,Export,East,4180,4180,LOOM-GEN0028
FAB-W0035,LC-4029,BUY-429,202404,APPAREL,Manoj Pillai,MID RETAIL,SILK-C Fabric Lot 29,Global Threads Inc,Export,East,3954,3954,LOOM-GEN0028
FAB-W0036,LC-4030,BUY-430,202403,LUXURY,Sunita Reddy,SMALL RETAIL,LINEN-A Fabric Lot 30,Luxe Drapes GmbH,Domestic,Central,5285,5285,LOOM-GEN0029
FAB-W0036,LC-4030,BUY-430,202404,LUXURY,Sunita Reddy,SMALL RETAIL,LINEN-A Fabric Lot 30,Luxe Drapes GmbH,Domestic,Central,5175,5175,LOOM-GEN0029
FAB-W0037,LC-4031,BUY-431,202403,HOME TEXTILES,Ravi Sharma,LARGE RETAIL,VISCOSE-D Fabric Lot 31,HomeDecor Co,Online,West,2052,2052,LOOM-GEN0030
FAB-W0037,LC-4031,BUY-431,202404,HOME TEXTILES,Ravi Sharma,LARGE RETAIL,VISCOSE-D Fabric Lot 31,HomeDecor Co,Online,West,1928,1928,LOOM-GEN0030
FAB-W0038,LC-4032,BUY-432,202403,APPAREL,Neha Joshi,EXPORT HOUSE,MODAL-E Fabric Lot 32,Nordic Fabrics Ltd,Export,South,2598,2598,LOOM-GEN0031
FAB-W0038,LC-4032,BUY-432,202404,APPAREL,Neha Joshi,EXPORT HOUSE,MODAL-E Fabric Lot 32,Nordic Fabrics Ltd,Export,South,2708,2708,LOOM-GEN0031
FAB-W0039,LC-4033,BUY-433,202403,LUXURY,Amit Kulkarni,BOUTIQUE,COTTON-A Fabric Lot 33,CurtainWorld,Domestic,North,2252,2252,LOOM-GEN0032
FAB-W0039,LC-4033,BUY-433,202404,LUXURY,Amit Kulkarni,BOUTIQUE,COTTON-A Fabric Lot 33,CurtainWorld,Domestic,North,2410,2410,LOOM-GEN0032
FAB-W0040,LC-4034,BUY-434,202403,HOME TEXTILES,Priya Nair,MID RETAIL,COTTON-B Fabric Lot 34,Textura Imports,Online,East,4140,4140,LOOM-GEN0033
FAB-W0040,LC-4034,BUY-434,202404,HOME TEXTILES,Priya Nair,MID RETAIL,COTTON-B Fabric Lot 34,Textura Imports,Online,East,4017,4017,LOOM-GEN0033
FAB-W0041,LC-4035,BUY-435,202403,APPAREL,Suresh Menon,SMALL RETAIL,POLY-B Fabric Lot 35,Weave & Co,Export,Central,5162,5162,LOOM-GEN0034
FAB-W0041,LC-4035,BUY-435,202404,APPAREL,Suresh Menon,SMALL RETAIL,POLY-B Fabric Lot 35,Weave & Co,Export,Central,5504,5504,LOOM-GEN0034
FAB-W0042,LC-4036,BUY-436,202403,LUXURY,Deepa Iyer,LARGE RETAIL,POLY-C Fabric Lot 36,Loomcraft LLC,Domestic,West,3292,3292,LOOM-GEN0035
FAB-W0042,LC-4036,BUY-436,202404,LUXURY,Deepa Iyer,LARGE RETAIL,POLY-C Fabric Lot 36,Loomcraft LLC,Domestic,West,3528,3528,LOOM-GEN0035
FAB-W0043,LC-4037,BUY-437,202403,HOME TEXTILES,Kiran Rao,EXPORT HOUSE,SILK-C Fabric Lot 37,FabricMart Ltd,Online,South,4160,4160,LOOM-GEN0036
FAB-W0043,LC-4037,BUY-437,202404,HOME TEXTILES,Kiran Rao,EXPORT HOUSE,SILK-C Fabric Lot 37,FabricMart Ltd,Online,South,4007,4007,LOOM-GEN0036
FAB-W0044,LC-4038,BUY-438,202403,APPAREL,Anjali Desai,BOUTIQUE,LINEN-A Fabric Lot 38,Global Threads Inc,Export,North,4677,4677,LOOM-GEN0037
FAB-W0044,LC-4038,BUY-438,202404,APPAREL,Anjali Desai,BOUTIQUE,LINEN-A Fabric Lot 38,Global Threads Inc,Export,North,4909,4909,LOOM-GEN0037
FAB-W0045,LC-4039,BUY-439,202403,LUXURY,Manoj Pillai,MID RETAIL,VISCOSE-D Fabric Lot 39,Luxe Drapes GmbH,Domestic,East,6118,6118,LOOM-GEN0038
FAB-W0045,LC-4039,BUY-439,202404,LUXURY,Manoj Pillai,MID RETAIL,VISCOSE-D Fabric Lot 39,Luxe Drapes GmbH,Domestic,East,5576,5576,LOOM-GEN0038
FAB-W0046,LC-4040,BUY-440,202403,HOME TEXTILES,Sunita Reddy,SMALL RETAIL,MODAL-E Fabric Lot 40,HomeDecor Co,Online,Central,1248,1248,LOOM-GEN0039
FAB-W0046,LC-4040,BUY-440,202404,HOME TEXTILES,Sunita Reddy,SMALL RETAIL,MODAL-E Fabric Lot 40,HomeDecor Co,Online,Central,1087,1087,LOOM-GEN0039
FAB-W0047,LC-4041,BUY-441,202403,APPAREL,Ravi Sharma,LARGE RETAIL,COTTON-A Fabric Lot 41,Nordic Fabrics Ltd,Export,West,2511,2511,LOOM-GEN0040
FAB-W0047,LC-4041,BUY-441,202404,APPAREL,Ravi Sharma,LARGE RETAIL,COTTON-A Fabric Lot 41,Nordic Fabrics Ltd,Export,West,2574,2574,LOOM-GEN0040
FAB-W0048,LC-4042,BUY-442,202403,LUXURY,Neha Joshi,EXPORT HOUSE,COTTON-B Fabric Lot 42,CurtainWorld,Domestic,South,5123,5123,LOOM-GEN0041
FAB-W0048,LC-4042,BUY-442,202404,LUXURY,Neha Joshi,EXPORT HOUSE,COTTON-B Fabric Lot 42,CurtainWorld,Domestic,South,4715,4715,LOOM-GEN0041
FAB-W0049,LC-4043,BUY-443,202403,HOME TEXTILES,Amit Kulkarni,BOUTIQUE,POLY-B Fabric Lot 43,Textura Imports,Online,North,3094,3094,LOOM-GEN0042
FAB-W0049,LC-4043,BUY-443,202404,HOME TEXTILES,Amit Kulkarni,BOUTIQUE,POLY-B Fabric Lot 43,Textura Imports,Online,North,2675,2675,LOOM-GEN0042
FAB-W0050,LC-4044,BUY-444,202403,APPAREL,Priya Nair,MID RETAIL,POLY-C Fabric Lot 44,Weave & Co,Export,East,6451,6451,LOOM-GEN0043
FAB-W0050,LC-4044,BUY-444,202404,APPAREL,Priya Nair,MID RETAIL,POLY-C Fabric Lot 44,Weave & Co,Export,East,6748,6748,LOOM-GEN0043
FAB-W0051,LC-4045,BUY-445,202403,LUXURY,Suresh Menon,SMALL RETAIL,SILK-C Fabric Lot 45,Loomcraft LLC,Domestic,Central,1254,1254,LOOM-GEN0044
FAB-W0051,LC-4045,BUY-445,202404,LUXURY,Suresh Menon,SMALL RETAIL,SILK-C Fabric Lot 45,Loomcraft LLC,Domestic,Central,1096,1096,LOOM-GEN0044
FAB-W0052,LC-4046,BUY-446,202403,HOME TEXTILES,Deepa Iyer,LARGE RETAIL,LINEN-A Fabric Lot 46,FabricMart Ltd,Online,West,2434,2434,LOOM-GEN0045
FAB-W0052,LC-4046,BUY-446,202404,HOME TEXTILES,Deepa Iyer,LARGE RETAIL,LINEN-A Fabric Lot 46,FabricMart Ltd,Online,West,2449,2449,LOOM-GEN0045
FAB-W0053,LC-4047,BUY-447,202403,APPAREL,Kiran Rao,EXPORT HOUSE,VISCOSE-D Fabric Lot 47,Global Threads Inc,Export,South,5832,5832,LOOM-GEN0046
FAB-W0053,LC-4047,BUY-447,202404,APPAREL,Kiran Rao,EXPORT HOUSE,VISCOSE-D Fabric Lot 47,Global Threads Inc,Export,South,5033,5033,LOOM-GEN0046
FAB-W0054,LC-4048,BUY-448,202403,LUXURY,Anjali Desai,BOUTIQUE,MODAL-E Fabric Lot 48,Luxe Drapes GmbH,Domestic,North,2270,2270,LOOM-GEN0047
FAB-W0054,LC-4048,BUY-448,202404,LUXURY,Anjali Desai,BOUTIQUE,MODAL-E Fabric Lot 48,Luxe Drapes GmbH,Domestic,North,2378,2378,LOOM-GEN0047
FAB-W0055,LC-4049,BUY-449,202403,HOME TEXTILES,Manoj Pillai,MID RETAIL,COTTON-A Fabric Lot 49,HomeDecor Co,Online,East,3494,3494,LOOM-GEN0048
FAB-W0055,LC-4049,BUY-449,202404,HOME TEXTILES,Manoj Pillai,MID RETAIL,COTTON-A Fabric Lot 49,HomeDecor Co,Online,East,3261,3261,LOOM-GEN0048
FAB-W0056,LC-4050,BUY-450,202403,APPAREL,Sunita Reddy,SMALL RETAIL,COTTON-B Fabric Lot 50,Nordic Fabrics Ltd,Export,Central,1252,1252,LOOM-GEN0049
FAB-W0056,LC-4050,BUY-450,202404,APPAREL,Sunita Reddy,SMALL RETAIL,COTTON-B Fabric Lot 50,Nordic Fabrics Ltd,Export,Central,1298,1298,LOOM-GEN0049
FAB-W0057,LC-4051,BUY-451,202403,LUXURY,Ravi Sharma,LARGE RETAIL,POLY-B Fabric Lot 51,CurtainWorld,Domestic,West,1351,1351,LOOM-GEN0050
FAB-W0057,LC-4051,BUY-451,202404,LUXURY,Ravi Sharma,LARGE RETAIL,POLY-B Fabric Lot 51,CurtainWorld,Domestic,West,1434,1434,LOOM-GEN0050
FAB-W0058,LC-4052,BUY-452,202403,HOME TEXTILES,Neha Joshi,EXPORT HOUSE,POLY-C Fabric Lot 52,Textura Imports,Online,South,5359,5359,LOOM-GEN0051
FAB-W0058,LC-4052,BUY-452,202404,HOME TEXTILES,Neha Joshi,EXPORT HOUSE,POLY-C Fabric Lot 52,Textura Imports,Online,South,5498,5498,LOOM-GEN0051
FAB-W0059,LC-4053,BUY-453,202403,APPAREL,Amit Kulkarni,BOUTIQUE,SILK-C Fabric Lot 53,Weave & Co,Export,North,4674,4674,LOOM-GEN0052
FAB-W0059,LC-4053,BUY-453,202404,APPAREL,Amit Kulkarni,BOUTIQUE,SILK-C Fabric Lot 53,Weave & Co,Export,North,4973,4973,LOOM-GEN0052
FAB-W0060,LC-4054,BUY-454,202403,LUXURY,Priya Nair,MID RETAIL,LINEN-A Fabric Lot 54,Loomcraft LLC,Domestic,East,1832,1832,LOOM-GEN0053
FAB-W0060,LC-4054,BUY-454,202404,LUXURY,Priya Nair,MID RETAIL,LINEN-A Fabric Lot 54,Loomcraft LLC,Domestic,East,1655,1655,LOOM-GEN0053
FAB-W0061,LC-4055,BUY-455,202403,HOME TEXTILES,Suresh Menon,SMALL RETAIL,VISCOSE-D Fabric Lot 55,FabricMart Ltd,Online,Central,5982,5982,LOOM-GEN0054
FAB-W0061,LC-4055,BUY-455,202404,HOME TEXTILES,Suresh Menon,SMALL RETAIL,VISCOSE-D Fabric Lot 55,FabricMart Ltd,Online,Central,5616,5616,LOOM-GEN0054
FAB-W0062,LC-4056,BUY-456,202403,APPAREL,Deepa Iyer,LARGE RETAIL,MODAL-E Fabric Lot 56,Global Threads Inc,Export,West,2715,2715,LOOM-GEN0055
FAB-W0062,LC-4056,BUY-456,202404,APPAREL,Deepa Iyer,LARGE RETAIL,MODAL-E Fabric Lot 56,Global Threads Inc,Export,West,2811,2811,LOOM-GEN0055
FAB-W0063,LC-4057,BUY-457,202403,LUXURY,Kiran Rao,EXPORT HOUSE,COTTON-A Fabric Lot 57,Luxe Drapes GmbH,Domestic,South,2635,2635,LOOM-GEN0056
FAB-W0063,LC-4057,BUY-457,202404,LUXURY,Kiran Rao,EXPORT HOUSE,COTTON-A Fabric Lot 57,Luxe Drapes GmbH,Domestic,South,2385,2385,LOOM-GEN0056
FAB-W0064,LC-4058,BUY-458,202403,HOME TEXTILES,Anjali Desai,BOUTIQUE,COTTON-B Fabric Lot 58,HomeDecor Co,Online,North,4736,4736,LOOM-GEN0057
FAB-W0064,LC-4058,BUY-458,202404,HOME TEXTILES,Anjali Desai,BOUTIQUE,COTTON-B Fabric Lot 58,HomeDecor Co,Online,North,4712,4712,LOOM-GEN0057
FAB-W0065,LC-4059,BUY-459,202403,APPAREL,Manoj Pillai,MID RETAIL,POLY-B Fabric Lot 59,Nordic Fabrics Ltd,Export,East,2800,2800,LOOM-GEN0058
FAB-W0065,LC-4059,BUY-459,202404,APPAREL,Manoj Pillai,MID RETAIL,POLY-B Fabric Lot 59,Nordic Fabrics Ltd,Export,East,2500,2500,LOOM-GEN0058
FAB-W0066,LC-4060,BUY-460,202403,LUXURY,Sunita Reddy,SMALL RETAIL,POLY-C Fabric Lot 60,CurtainWorld,Domestic,Central,6308,6308,LOOM-GEN0059
FAB-W0066,LC-4060,BUY-460,202404,LUXURY,Sunita Reddy,SMALL RETAIL,POLY-C Fabric Lot 60,CurtainWorld,Domestic,Central,6257,6257,LOOM-GEN0059
FAB-W0067,LC-4061,BUY-461,202403,HOME TEXTILES,Ravi Sharma,LARGE RETAIL,SILK-C Fabric Lot 61,Textura Imports,Online,West,1614,1614,LOOM-GEN0060
FAB-W0067,LC-4061,BUY-461,202404,HOME TEXTILES,Ravi Sharma,LARGE RETAIL,SILK-C Fabric Lot 61,Textura Imports,Online,West,1528,1528,LOOM-GEN0060
FAB-W0068,LC-4062,BUY-462,202403,APPAREL,Neha Joshi,EXPORT HOUSE,LINEN-A Fabric Lot 62,Weave & Co,Export,South,1468,1468,LOOM-GEN0061
FAB-W0068,LC-4062,BUY-462,202404,APPAREL,Neha Joshi,EXPORT HOUSE,LINEN-A Fabric Lot 62,Weave & Co,Export,South,1296,1296,LOOM-GEN0061
FAB-W0069,LC-4063,BUY-463,202403,LUXURY,Amit Kulkarni,BOUTIQUE,VISCOSE-D Fabric Lot 63,Loomcraft LLC,Domestic,North,6109,6109,LOOM-GEN0062
FAB-W0069,LC-4063,BUY-463,202404,LUXURY,Amit Kulkarni,BOUTIQUE,VISCOSE-D Fabric Lot 63,Loomcraft LLC,Domestic,North,5992,5992,LOOM-GEN0062
FAB-W0070,LC-4064,BUY-464,202403,HOME TEXTILES,Priya Nair,MID RETAIL,MODAL-E Fabric Lot 64,FabricMart Ltd,Online,East,1683,1683,LOOM-GEN0063
FAB-W0070,LC-4064,BUY-464,202404,HOME TEXTILES,Priya Nair,MID RETAIL,MODAL-E Fabric Lot 64,FabricMart Ltd,Online,East,1477,1477,LOOM-GEN0063
FAB-W0071,LC-4065,BUY-465,202403,APPAREL,Suresh Menon,SMALL RETAIL,COTTON-A Fabric Lot 65,Global Threads Inc,Export,Central,5160,5160,LOOM-GEN0064
FAB-W0071,LC-4065,BUY-465,202404,APPAREL,Suresh Menon,SMALL RETAIL,COTTON-A Fabric Lot 65,Global Threads Inc,Export,Central,4622,4622,LOOM-GEN0064
FAB-W0072,LC-4066,BUY-466,202403,LUXURY,Deepa Iyer,LARGE RETAIL,COTTON-B Fabric Lot 66,Luxe Drapes GmbH,Domestic,West,3315,3315,LOOM-GEN0065
