machine_id,loom_code,plant_weaving,plant_finishing,fabric_code,buyer_code,currency_code,exchange_rate,report_period,net_weight_kg,input_weight_kg,overhead_pct,yarn_grade,yarn_rate_per_kg,selling_price_inr,selling_price_fc,raw_material_inr,bought_out_inr,outsource_total_inr,outsource_weaving_inr,outsource_finishing_inr,domestic_outsource_inr,logistics_inr,packing_inr,forwarding_inr,process_tag
LOOM-GEN0012,LC-4013,6100,6200.0,FAB-W0019,BUY-413,INR,1.0,202404,1.192,1.362,8.66,SILK-C,360.88,541.09,541.09,249.18,270.15,26.0,13.0,13.0,8.76,19.39,7.69,6.7,Reviewed by finance team
LOOM-GEN0013,LC-4014,7100,7200.0,FAB-W0020,BUY-414,USD,83.5,202403,1.073,1.307,7.42,LINEN-A,192.67,417.44,5.0,209.57,160.44,36.22,18.11,18.11,17.19,9.56,9.33,12.03,Outsourced_here process cost
LOOM-GEN0013,LC-4014,7100,7200.0,FAB-W0020,BUY-414,USD,83.5,202404,1.073,1.307,7.42,LINEN-A,192.67,417.44,5.0,209.57,160.44,36.22,18.11,18.11,17.19,9.56,9.33,12.03,Outsourced_here process cost
LOOM-GEN0014,LC-4015,9100,9200.0,FAB-W0021,BUY-415,EUR,89.8,202403,0.9,1.014,10.24,VISCOSE-D,308.44,799.04,8.9,417.1,376.45,7.62,3.81,3.81,1.94,17.48,11.93,9.6,Standard Weaving Cost
LOOM-GEN0014,LC-4015,9100,9200.0,FAB-W0021,BUY-415,EUR,89.8,202404,0.9,1.014,10.24,VISCOSE-D,308.44,799.04,8.9,417.1,376.45,7.62,3.81,3.81,1.94,17.48,11.93,9.6,Standard Weaving Cost
LOOM-GEN0015,LC-4016,6100,6200.0,FAB-W0022,BUY-416,GBP,106.9,202403,1.621,2.001,10.44,MODAL-E,152.48,732.49,6.85,339.96,351.05,9.95,4.97,4.97,3.8,17.87,11.91,7.34,Standard Weaving Cost
LOOM-GEN0015,LC-4016,6100,6200.0,FAB-W0022,BUY-416,GBP,106.9,202404,1.621,2.001,10.44,MODAL-E,152.48,732.49,6.85,339.96,351.05,9.95,4.97,4.97,3.8,17.87,11.91,7.34,Standard Weaving Cost
LOOM-GEN0016,LC-4017,7100,7200.0,FAB-W0023,BUY-417,INR,1.0,202403,0.95,1.22,8.27,COTTON-A,404.25,872.81,872.81,372.32,436.31,33.44,16.72,16.72,19.38,28.38,17.88,6.0,Standard Weaving Cost
LOOM-GEN0016,LC-4017,7100,7200.0,FAB-W0023,BUY-417,INR,1.0,202404,0.95,1.22,8.27,COTTON-A,404.25,872.81,872.81,372.32,436.31,33.44,16.72,16.72,19.38,28.38,17.88,6.0,Standard Weaving Cost
LOOM-GEN0017,LC-4018,9100,9200.0,FAB-W0024,BUY-418,USD,83.5,202403,1.28,1.463,8.1,COTTON-B,139.35,710.02,8.5,389.15,276.75,31.36,15.68,15.68,9.1,17.31,19.4,15.95,Subcon Cost Considered here
LOOM-GEN0017,LC-4018,9100,9200.0,FAB-W0024,BUY-418,USD,83.5,202404,1.28,1.463,8.1,COTTON-B,139.35,710.02,8.5,389.15,276.75,31.36,15.68,15.68,9.1,17.31,19.4,15.95,Subcon Cost Considered here
LOOM-GEN0018,LC-4019,6100,6200.0,FAB-W0025,BUY-419,EUR,89.8,202403,1.378,1.714,7.12,POLY-B,217.91,1270.27,14.15,629.16,547.9,29.92,14.96,14.96,1.14,20.85,13.04,14.23,Monthly reconcile adjustment
LOOM-GEN0018,LC-4019,6100,6200.0,FAB-W0025,BUY-419,EUR,89.8,202404,1.378,1.714,7.12,POLY-B,217.91,1270.27,14.15,629.16,547.9,29.92,14.96,14.96,1.14,20.85,13.04,14.23,Monthly reconcile adjustment
LOOM-GEN0019,LC-4020,7100,7200.0,FAB-W0026,BUY-420,GBP,106.9,202403,0.82,1.06,6.82,POLY-C,181.32,915.28,8.56,464.76,352.64,4.8,2.4,2.4,17.81,13.42,14.32,11.43,Reviewed by finance team
LOOM-GEN0019,LC-4020,7100,7200.0,FAB-W0026,BUY-420,GBP,106.9,202404,0.82,1.06,6.82,POLY-C,181.32,915.28,8.56,464.76,352.64,4.8,2.4,2.4,17.81,13.42,14.32,11.43,Reviewed by finance team
LOOM-GEN0020,LC-4021,9100,9200.0,FAB-W0027,BUY-421,INR,1.0,202403,1.187,1.444,8.59,SILK-C,428.45,544.05,544.05,279.15,209.9,15.83,7.92,7.92,13.43,14.6,10.43,13.02,Outsourced_here process cost
LOOM-GEN0020,LC-4021,9100,9200.0,FAB-W0027,BUY-421,INR,1.0,202404,1.187,1.444,8.59,SILK-C,428.45,544.05,544.05,279.15,209.9,15.83,7.92,7.92,13.43,14.6,10.43,13.02,Outsourced_here process cost
LOOM-GEN0021,LC-4022,6100,6200.0,FAB-W0028,BUY-422,USD,83.5,202403,0.702,0.837,10.49,LINEN-A,448.71,419.6,5.03,187.86,163.55,37.33,18.66,18.66,17.62,27.34,11.17,5.89,Standard Weaving Cost
LOOM-GEN0021,LC-4022,6100,6200.0,FAB-W0028,BUY-422,USD,83.5,202404,0.702,0.837,10.49,LINEN-A,448.71,419.6,5.03,187.86,163.55,37.33,18.66,18.66,17.62,27.34,11.17,5.89,Standard Weaving Cost
LOOM-GEN0022,LC-4023,7100,7200.0,FAB-W0029,BUY-423,EUR,89.8,202403,1.767,2.192,8.95,VISCOSE-D,445.79,971.28,10.82,408.93,458.99,11.98,5.99,5.99,13.27,28.66,7.88,5.39,Standard Weaving Cost
LOOM-GEN0022,LC-4023,7100,7200.0,FAB-W0029,BUY-423,EUR,89.8,202404,1.767,2.192,8.95,VISCOSE-D,445.79,971.28,10.82,408.93,458.99,11.98,5.99,5.99,13.27,28.66,7.88,5.39,Standard Weaving Cost
LOOM-GEN0023,LC-4024,9100,9200.0,FAB-W0030,BUY-424,GBP,106.9,202403,0.75,0.908,7.59,MODAL-E,319.59,1031.73,9.65,460.63,459.26,10.56,5.28,5.28,9.77,27.92,17.85,5.11,Standard Weaving Cost
LOOM-GEN0023,LC-4024,9100,9200.0,FAB-W0030,BUY-424,GBP,106.9,202404,0.75,0.908,7.59,MODAL-E,319.59,1031.73,9.65,460.63,459.26,10.56,5.28,5.28,9.77,27.92,17.85,5.11,Standard Weaving Cost
LOOM-GEN0024,LC-4025,6100,6200.0,FAB-W0031,BUY-425,INR,1.0,202403,1.193,1.378,6.51,COTTON-A,374.47,955.26,955.26,433.74,440.55,22.07,11.04,11.04,8.55,8.21,7.05,14.6,Subcon Cost Considered here
LOOM-GEN0024,LC-4025,6100,6200.0,FAB-W0031,BUY-425,INR,1.0,202404,1.193,1.378,6.51,COTTON-A,374.47,955.26,955.26,433.74,440.55,22.07,11.04,11.04,8.55,8.21,7.05,14.6,Subcon Cost Considered here
LOOM-GEN0025,LC-4026,7100,7200.0,FAB-W0032,BUY-426,USD,83.5,202403,1.866,2.256,9.84,COTTON-B,312.23,490.69,5.88,214.22,194.43,35.96,17.98,17.98,15.92,26.94,18.58,6.52,Monthly reconcile adjustment
LOOM-GEN0025,LC-4026,7100,7200.0,FAB-W0032,BUY-426,USD,83.5,202404,1.866,2.256,9.84,COTTON-B,312.23,490.69,5.88,214.22,194.43,35.96,17.98,17.98,15.92,26.94,18.58,6.52,Monthly reconcile adjustment
LOOM-GEN0026,LC-4027,9100,9200.0,FAB-W0033,BUY-427,EUR,89.8,202403,0.949,1.063,9.62,POLY-B,411.76,736.06,8.2,368.53,274.69,37.2,18.6,18.6,17.29,29.48,17.35,14.58,Reviewed by finance team
LOOM-GEN0026,LC-4027,9100,9200.0,FAB-W0033,BUY-427,EUR,89.8,202404,0.949,1.063,9.62,POLY-B,411.76,736.06,8.2,368.53,274.69,37.2,18.6,18.6,17.29,29.48,17.35,14.58,Reviewed by finance team
LOOM-GEN0027,LC-4028,6100,6200.0,FAB-W0034,BUY-428,GBP,106.9,202403,0.635,0.792,7.83,POLY-C,427.17,1112.12,10.4,592.01,524.49,10.67,5.33,5.33,15.75,10.38,18.21,14.3,Outsourced_here process cost
LOOM-GEN0027,LC-4028,6100,6200.0,FAB-W0034,BUY-428,GBP,106.9,202404,0.635,0.792,7.83,POLY-C,427.17,1112.12,10.4,592.01,524.49,10.67,5.33,5.33,15.75,10.38,18.21,14.3,Outsourced_here process cost
LOOM-GEN0028,LC-4029,7100,7200.0,FAB-W0035,BUY-429,INR,1.0,202403,0.911,1.151,8.34,SILK-C,220.71,1105.58,1105.58,497.05,390.88,7.73,3.87,3.87,6.57,27.02,19.54,7.35,Standard Weaving Cost
LOOM-GEN0028,LC-4029,7100,7200.0,FAB-W0035,BUY-429,INR,1.0,202404,0.911,1.151,8.34,SILK-C,220.71,1105.58,1105.58,497.05,390.88,7.73,3.87,3.87,6.57,27.02,19.54,7.35,Standard Weaving Cost
LOOM-GEN0029,LC-4030,9100,9200.0,FAB-W0036,BUY-430,USD,83.5,202403,1.498,1.768,10.42,LINEN-A,296.95,1242.28,14.88,540.38,615.62,7.14,3.57,3.57,19.25,13.84,7.52,9.21,Standard Weaving Cost
LOOM-GEN0029,LC-4030,9100,9200.0,FAB-W0036,BUY-430,USD,83.5,202404,1.498,1.768,10.42,LINEN-A,296.95,1242.28,14.88,540.38,615.62,7.14,3.57,3.57,19.25,13.84,7.52,9.21,Standard Weaving Cost
LOOM-GEN0030,LC-4031,6100,6200.0,FAB-W0037,BUY-431,EUR,89.8,202403,1.62,1.884,8.92,VISCOSE-D,288.77,715.94,7.97,354.36,277.93,28.35,14.18,14.18,0.03,28.36,13.54,12.63,Standard Weaving Cost
LOOM-GEN0030,LC-4031,6100,6200.0,FAB-W0037,BUY-431,EUR,89.8,202404,1.62,1.884,8.92,VISCOSE-D,288.77,715.94,7.97,354.36,277.93,28.35,14.18,14.18,0.03,28.36,13.54,12.63,Standard Weaving Cost
LOOM-GEN0031,LC-4032,7100,7200.0,FAB-W0038,BUY-432,GBP,106.9,202403,1.639,2.023,7.96,MODAL-E,143.09,981.03,9.18,454.14,389.55,33.92,16.96,16.96,14.4,14.61,10.33,8.9,Subcon Cost Considered here
LOOM-GEN0031,LC-4032,7100,7200.0,FAB-W0038,BUY-432,GBP,106.9,202404,1.639,2.023,7.96,MODAL-E,143.09,981.03,9.18,454.14,389.55,33.92,16.96,16.96,14.4,14.61,10.33,8.9,Subcon Cost Considered here
LOOM-GEN0032,LC-4033,9100,9200.0,FAB-W0039,BUY-433,INR,1.0,202403,1.163,1.348,7.01,COTTON-A,258.75,1243.35,1243.35,631.69,603.55,24.62,12.31,12.31,6.02,20.05,6.01,7.44,Monthly reconcile adjustment
LOOM-GEN0032,LC-4033,9100,9200.0,FAB-W0039,BUY-433,INR,1.0,202404,1.163,1.348,7.01,COTTON-A,258.75,1243.35,1243.35,631.69,603.55,24.62,12.31,12.31,6.02,20.05,6.01,7.44,Monthly reconcile adjustment
LOOM-GEN0033,LC-4034,6100,6200.0,FAB-W0040,BUY-434,USD,83.5,202403,1.202,1.462,9.12,COTTON-B,273.45,770.05,9.22,344.81,324.17,36.05,18.02,18.02,15.92,11.73,7.19,10.19,Reviewed by finance team
LOOM-GEN0033,LC-4034,6100,6200.0,FAB-W0040,BUY-434,USD,83.5,202404,1.202,1.462,9.12,COTTON-B,273.45,770.05,9.22,344.81,324.17,36.05,18.02,18.02,15.92,11.73,7.19,10.19,Reviewed by finance team
LOOM-GEN0034,LC-4035,7100,7200.0,FAB-W0041,BUY-435,EUR,89.8,202403,1.486,1.734,9.77,POLY-B,367.88,989.16,11.02,444.33,375.75,0.98,0.49,0.49,4.9,18.45,17.9,4.87,Outsourced_here process cost
LOOM-GEN0034,LC-4035,7100,7200.0,FAB-W0041,BUY-435,EUR,89.8,202404,1.486,1.734,9.77,POLY-B,367.88,989.16,11.02,444.33,375.75,0.98,0.49,0.49,4.9,18.45,17.9,4.87,Outsourced_here process cost
LOOM-GEN0035,LC-4036,9100,9200.0,FAB-W0042,BUY-436,GBP,106.9,202403,1.18,1.447,7.28,POLY-C,349.8,819.66,7.67,370.26,367.54,0.22,0.11,0.11,15.02,24.94,7.49,9.1,Standard Weaving Cost
LOOM-GEN0035,LC-4036,9100,9200.0,FAB-W0042,BUY-436,GBP,106.9,202404,1.18,1.447,7.28,POLY-C,349.8,819.66,7.67,370.26,367.54,0.22,0.11,0.11,15.02,24.94,7.49,9.1,Standard Weaving Cost
LOOM-GEN0036,LC-4037,6100,6200.0,FAB-W0043,BUY-437,INR,1.0,202403,0.846,1.093,8.57,SILK-C,136.57,586.74,586.74,311.14,245.53,32.06,16.03,16.03,13.35,29.73,14.34,15.4,Standard Weaving Cost
LOOM-GEN0036,LC-4037,6100,6200.0,FAB-W0043,BUY-437,INR,1.0,202404,0.846,1.093,8.57,SILK-C,136.57,586.74,586.74,311.14,245.53,32.06,16.03,16.03,13.35,29.73,14.34,15.4,Standard Weaving Cost
LOOM-GEN0037,LC-4038,7100,7200.0,FAB-W0044,BUY-438,USD,83.5,202403,1.848,2.259,9.38,LINEN-A,286.58,1139.04,13.64,559.52,551.96,29.75,14.88,14.88,9.49,13.7,9.46,11.65,Standard Weaving Cost
LOOM-GEN0037,LC-4038,7100,7200.0,FAB-W0044,BUY-438,USD,83.5,202404,1.848,2.259,9.38,LINEN-A,286.58,1139.04,13.64,559.52,551.96,29.75,14.88,14.88,9.49,13.7,9.46,11.65,Standard Weaving Cost
LOOM-GEN0038,LC-4039,9100,9200.0,FAB-W0045,BUY-439,EUR,89.8,202403,1.672,2.014,9.01,VISCOSE-D,210.62,423.61,4.72,193.65,165.53,12.79,6.39,6.39,10.8,11.04,9.24,12.33,Subcon Cost Considered here
LOOM-GEN0038,LC-4039,9100,9200.0,FAB-W0045,BUY-439,EUR,89.8,202404,1.672,2.014,9.01,VISCOSE-D,210.62,423.61,4.72,193.65,165.53,12.79,6.39,6.39,10.8,11.04,9.24,12.33,Subcon Cost Considered here
LOOM-GEN0039,LC-4040,6100,6200.0,FAB-W0046,BUY-440,GBP,106.9,202403,1.589,1.768,8.13,MODAL-E,299.06,744.99,6.97,332.93,307.7,36.19,18.09,18.09,11.68,23.3,17.99,13.19,Monthly reconcile adjustment
LOOM-GEN0039,LC-4040,6100,6200.0,FAB-W0046,BUY-440,GBP,106.9,202404,1.589,1.768,8.13,MODAL-E,299.06,744.99,6.97,332.93,307.7,36.19,18.09,18.09,11.68,23.3,17.99,13.19,Monthly reconcile adjustment
LOOM-GEN0040,LC-4041,7100,7200.0,FAB-W0047,BUY-441,INR,1.0,202403,1.133,1.248,7.91,COTTON-A,368.65,1160.78,1160.78,631.4,479.23,29.9,14.95,14.95,10.92,21.27,9.09,6.63,Reviewed by finance team
LOOM-GEN0040,LC-4041,7100,7200.0,FAB-W0047,BUY-441,INR,1.0,202404,1.133,1.248,7.91,COTTON-A,368.65,1160.78,1160.78,631.4,479.23,29.9,14.95,14.95,10.92,21.27,9.09,6.63,Reviewed by finance team
LOOM-GEN0041,LC-4042,9100,9200.0,FAB-W0048,BUY-442,USD,83.5,202403,1.21,1.338,7.84,COTTON-B,344.12,734.1,8.79,324.07,308.4,5.11,2.56,2.56,12.45,8.59,11.52,10.77,Outsourced_here process cost
LOOM-GEN0041,LC-4042,9100,9200.0,FAB-W0048,BUY-442,USD,83.5,202404,1.21,1.338,7.84,COTTON-B,344.12,734.1,8.79,324.07,308.4,5.11,2.56,2.56,12.45,8.59,11.52,10.77,Outsourced_here process cost
LOOM-GEN0042,LC-4043,6100,6200.0,FAB-W0049,BUY-443,EUR,89.8,202403,0.638,0.784,7.04,POLY-B,272.36,397.77,4.43,186.67,151.85,13.07,6.54,6.54,15.22,16.34,16.53,13.98,Standard Weaving Cost
LOOM-GEN0042,LC-4043,6100,6200.0,FAB-W0049,BUY-443,EUR,89.8,202404,0.638,0.784,7.04,POLY-B,272.36,397.77,4.43,186.67,151.85,13.07,6.54,6.54,15.22,16.34,16.53,13.98,Standard Weaving Cost
LOOM-GEN0043,LC-4044,7100,7200.0,FAB-W0050,BUY-444,GBP,106.9,202403,0.953,1.064,6.58,POLY-C,298.01,1299.91,12.16,605.1,581.74,31.25,15.62,15.62,13.04,24.59,19.29,6.39,Standard Weaving Cost
LOOM-GEN0043,LC-4044,7100,7200.0,FAB-W0050,BUY-444,GBP,106.9,202404,0.953,1.064,6.58,POLY-C,298.01,1299.91,12.16,605.1,581.74,31.25,15.62,15.62,13.04,24.59,19.29,6.39,Standard Weaving Cost
LOOM-GEN0044,LC-4045,9100,9200.0,FAB-W0051,BUY-445,INR,1.0,202403,0.629,0.711,7.0,SILK-C,340.92,885.77,885.77,397.12,402.95,30.68,15.34,15.34,3.36,21.36,16.47,5.37,Standard Weaving Cost
LOOM-GEN0044,LC-4045,9100,9200.0,FAB-W0051,BUY-445,INR,1.0,202404,0.629,0.711,7.0,SILK-C,340.92,885.77,885.77,397.12,402.95,30.68,15.34,15.34,3.36,21.36,16.47,5.37,Standard Weaving Cost
LOOM-GEN0045,LC-4046,6100,6200.0,FAB-W0052,BUY-446,USD,83.5,202403,1.747,2.259,6.93,LINEN-A,128.47,646.36,7.74,328.39,319.12,15.87,7.93,7.93,14.3,9.67,15.67,11.53,Subcon Cost Considered here
LOOM-GEN0045,LC-4046,6100,6200.0,FAB-W0052,BUY-446,USD,83.5,202404,1.747,2.259,6.93,LINEN-A,128.47,646.36,7.74,328.39,319.12,15.87,7.93,7.93,14.3,9.67,15.67,11.53,Subcon Cost Considered here
