yarn_code,rate_per_unit,rate_period,unit_of_measure
Y-GEN-1026,120.59,202403,KG
Y-GEN-1026,127.81,202404,KG
Y-GEN-1027,129.47,202403,KG
Y-GEN-1027,130.24,202404,KG
Y-GEN-1028,182.9,202403,KG
Y-GEN-1028,175.08,202404,KG
Y-GEN-1029,344.39,202403,KG
Y-GEN-1029,355.19,202404,KG
Y-GEN-1030,402.17,202403,KG
Y-GEN-1030,520.51,202404,KG
Y-GEN-1031,139.35,202403,KG
Y-GEN-1031,132.8,202404,KG
Y-GEN-1032,132.46,202403,KG
Y-GEN-1032,153.08,202404,KG
Y-GEN-1033,397.69,202403,KG
Y-GEN-1033,393.03,202404,KG
Y-GEN-1034,304.51,202403,KG
Y-GEN-1034,294.67,202404,KG
Y-GEN-1035,433.58,202403,KG
Y-GEN-1035,536.13,202404,KG
Y-GEN-1036,412.43,202403,KG
Y-GEN-1036,408.03,202404,KG
Y-GEN-1037,436390.0,202403,TO
Y-GEN-1037,415130.0,202404,TO
Y-GEN-1038,401.2,202403,KG
Y-GEN-1038,457.51,202404,KG
Y-GEN-1039,424.16,202403,KG
Y-GEN-1039,474.37,202404,KG
Y-GEN-1040,154.68,202403,KG
Y-GEN-1040,153.15,202404,KG
Y-GEN-1041,215.79,202403,KG
Y-GEN-1041,240.16,202404,KG
Y-GEN-1042,311.57,202403,KG
Y-GEN-1042,313.5,202404,KG
Y-GEN-1043,241.11,202403,KG
Y-GEN-1043,311.43,202404,KG
Y-GEN-1044,383.6,202403,KG
Y-GEN-1044,481.6,202404,KG
Y-GEN-1045,418.71,202403,KG
Y-GEN-1045,423.59,202404,KG
Y-GEN-1046,212.85,202403,KG
Y-GEN-1046,212.6,202404,KG
Y-GEN-1047,237.18,202403,KG
Y-GEN-1047,281.43,202404,KG
Y-GEN-1048,240.97,202403,KG
Y-GEN-1048,306.2,202404,KG
Y-GEN-1049,288.35,202403,KG
Y-GEN-1049,278.92,202404,KG
Y-GEN-1050,277.82,202403,KG
Y-GEN-1050,320.44,202404,KG
Y-GEN-1051,224.72,202403,KG
Y-GEN-1051,237.28,202404,KG
Y-GEN-1052,441.08,202403,KG
Y-GEN-1052,446.04,202404,KG
Y-GEN-1053,354.25,202403,KG
Y-GEN-1053,443.15,202404,KG
Y-GEN-1054,238.65,202403,KG
Y-GEN-1054,282.01,202404,KG
Y-GEN-1055,432.11,202403,KG
Y-GEN-1055,517.69,202404,KG
Y-GEN-1056,194.84,202403,KG
Y-GEN-1056,189.37,202404,KG
Y-GEN-1057,243.7,202403,KG
Y-GEN-1057,276.73,202404,KG
Y-GEN-1058,279.09,202403,KG
Y-GEN-1058,295.62,202404,KG
Y-GEN-1059,380.83,202403,KG
Y-GEN-1059,415.8,202404,KG
Y-GEN-1060,179.92,202403,KG
Y-GEN-1060,224.08,202404,KG
Y-GEN-1061,449.2,202403,KG
Y-GEN-1061,571.92,202404,KG
Y-GEN-1062,249.31,202403,KG
Y-GEN-1062,241.91,202404,KG
Y-GEN-1063,280.16,202403,KG
Y-GEN-1063,324.89,202404,KG
Y-GEN-1064,288.52,202403,KG
Y-GEN-1064,289.62,202404,KG
Y-GEN-1065,415.86,202403,KG
Y-GEN-1065,516.97,202404,KG
Y-GEN-1066,127.57,202403,KG
Y-GEN-1066,125.95,202404,KG
Y-GEN-1067,216.33,202403,KG
Y-GEN-1067,264.73,202404,KG
Y-GEN-1068,152.32,202403,KG
Y-GEN-1068,146.82,202404,KG
Y-GEN-1069,142.3,202403,KG
Y-GEN-1069,167.1,202404,KG
Y-GEN-1070,319.16,202403,KG
Y-GEN-1070,384.45,202404,KG
Y-GEN-1071,363.35,202403,KG
Y-GEN-1071,403.57,202404,KG
Y-GEN-1072,134.84,202403,KG
Y-GEN-1072,162.04,202404,KG
Y-GEN-1073,123.63,202403,KG
Y-GEN-1073,129.26,202404,KG
Y-GEN-1074,433110.0,202403,TO
Y-GEN-1074,548730.0,202404,TO
Y-GEN-1075,323.28,202403,KG
Y-GEN-1075,411.86,202404,KG
Y-GEN-1076,130.33,202403,KG
Y-GEN-1076,155.99,202404,KG
Y-GEN-1077,124.4,202403,KG
Y-GEN-1077,129.79,202404,KG
Y-GEN-1078,177.74,202403,KG
Y-GEN-1078,182.58,202404,KG
Y-GEN-1079,235.48,202403,KG
Y-GEN-1079,247.07,202404,KG
Y-GEN-1080,237.49,202403,KG
Y-GEN-1080,305.2,202404,KG
Y-GEN-1081,370.32,202403,KG
Y-GEN-1081,478.17,202404,KG
Y-GEN-1082,160.59,202403,KG
Y-GEN-1082,165.76,202404,KG
Y-GEN-1083,390.82,202403,KG
Y-GEN-1083,501.71,202404,KG
Y-GEN-1084,346.09,202403,KG
Y-GEN-1084,406.18,202404,KG
Y-GEN-1085,157.08,202403,KG
Y-GEN-1085,153.84,202404,KG
Y-GEN-1086,212.19,202403,KG
Y-GEN-1086,256.08,202404,KG
Y-GEN-1087,199.53,202403,KG
Y-GEN-1087,240.91,202404,KG
Y-GEN-1088,309.83,202403,KG
Y-GEN-1088,329.67,202404,KG
Y-GEN-1089,273.22,202403,KG
Y-GEN-1089,346.57,202404,KG
Y-GEN-1090,356.31,202403,KG
Y-GEN-1090,410.66,202404,KG
Y-GEN-1091,154.88,202403,KG
Y-GEN-1091,165.88,202404,KG
Y-GEN-1092,415.5,202403,KG
Y-GEN-1092,514.57,202404,KG
Y-GEN-1093,169.34,202403,KG
Y-GEN-1093,203.31,202404,KG
Y-GEN-1094,247.68,202403,KG
Y-GEN-1094,261.49,202404,KG
Y-GEN-1095,395.57,202403,KG
Y-GEN-1095,448.04,202404,KG
Y-GEN-1096,153.77,202403,KG
Y-GEN-1096,152.94,202404,KG
Y-GEN-1097,303.24,202403,KG
Y-GEN-1097,329.25,202404,KG
Y-GEN-1098,386.81,202403,KG
Y-GEN-1098,394.38,202404,KG
Y-GEN-1099,249.99,202403,KG
Y-GEN-1099,260.27,202404,KG
Y-GEN-1100,328.85,202403,KG
Y-GEN-1100,388.78,202404,KG
Y-GEN-1101,309.83,202403,KG
Y-GEN-1101,344.56,202404,KG
Y-GEN-1102,440.84,202403,KG
Y-GEN-1102,515.25,202404,KG
Y-GEN-1103,351.8,202403,KG
Y-GEN-1103,404.88,202404,KG
Y-GEN-1104,306.42,202403,KG
Y-GEN-1104,307.39,202404,KG
Y-GEN-1105,238.96,202403,KG
Y-GEN-1105,252.57,202404,KG
Y-GEN-1106,359.33,202403,KG
Y-GEN-1106,433.88,202404,KG
Y-GEN-1107,230.56,202403,KG
Y-GEN-1107,244.84,202404,KG
Y-GEN-1108,377.09,202403,KG
Y-GEN-1108,409.16,202404,KG
Y-GEN-1109,346.39,202403,KG
Y-GEN-1109,339.59,202404,KG
Y-GEN-1110,180.11,202403,KG
Y-GEN-1110,172.41,202404,KG
Y-GEN-1111,404070.0,202403,TO
Y-GEN-1111,505680.0,202404,TO
Y-GEN-1112,248.94,202403,KG
Y-GEN-1112,308.35,202404,KG
Y-GEN-1113,403.28,202403,KG
Y-GEN-1113,506.18,202404,KG
Y-GEN-1114,165.87,202403,KG
Y-GEN-1114,189.72,202404,KG
Y-GEN-1115,259.13,202403,KG
Y-GEN-1115,322.28,202404,KG
Y-GEN-1116,304.21,202403,KG
Y-GEN-1116,371.9,202404,KG
Y-GEN-1117,218.77,202403,KG
Y-GEN-1117,274.09,202404,KG
Y-GEN-1118,258.19,202403,KG
Y-GEN-1118,248.71,202404,KG
Y-GEN-1119,281.13,202403,KG
Y-GEN-1119,315.57,202404,KG
Y-GEN-1120,287.87,202403,KG
Y-GEN-1120,332.3,202404,KG
Y-GEN-1121,293.93,202403,KG
Y-GEN-1121,318.88,202404,KG
Y-GEN-1122,405.3,202403,KG
Y-GEN-1122,458.89,202404,KG
Y-GEN-1123,284.45,202403,KG
Y-GEN-1123,299.25,202404,KG
Y-GEN-1124,196.42,202403,KG
Y-GEN-1124,243.47,202404,KG
Y-GEN-1125,324.19,202403,KG
Y-GEN-1125,414.29,202404,KG
Y-GEN-1126,365.03,202403,KG
Y-GEN-1126,461.7,202404,KG
Y-GEN-1127,291.82,202403,KG
Y-GEN-1127,312.25,202404,KG
Y-GEN-1128,378.48,202403,KG
Y-GEN-1128,380.13,202404,KG
Y-GEN-1129,370.25,202403,KG
Y-GEN-1129,423.8,202404,KG
Y-GEN-1130,139.29,202403,KG
Y-GEN-1130,160.14,202404,KG
Y-GEN-1131,251.48,202403,KG
Y-GEN-1131,253.13,202404,KG
Y-GEN-1132,175.02,202403,KG
Y-GEN-1132,227.46,202404,KG
Y-GEN-1133,226.19,202403,KG
Y-GEN-1133,258.97,202404,KG
Y-GEN-1134,408.16,202403,KG
Y-GEN-1134,488.31,202404,KG
Y-GEN-1135,378.9,202403,KG
Y-GEN-1135,389.24,202404,KG
Y-GEN-1136,366.42,202403,KG
Y-GEN-1136,451.05,202404,KG
Y-GEN-1137,141.37,202403,KG
Y-GEN-1137,170.34,202404,KG
Y-GEN-1138,144.36,202403,KG
Y-GEN-1138,155.13,202404,KG
Y-GEN-1139,162.82,202403,KG
Y-GEN-1139,171.93,202404,KG
Y-GEN-1140,287.09,202403,KG
Y-GEN-1140,339.24,202404,KG
Y-GEN-1141,442.42,202403,KG
Y-GEN-1141,432.06,202404,KG
Y-GEN-1142,208.26,202403,KG
Y-GEN-1142,253.97,202404,KG
Y-GEN-1143,432.4,202403,KG
Y-GEN-1143,502.56,202404,KG
Y-GEN-1144,181.19,202403,KG
Y-GEN-1144,230.57,202404,KG
Y-GEN-1145,255.5,202403,KG
Y-GEN-1145,249.75,202404,KG
Y-GEN-1146,313.93,202403,KG
Y-GEN-1146,347.42,202404,KG
Y-GEN-1147,346.92,202403,KG
Y-GEN-1147,359.46,202404,KG
Y-GEN-1148,218520.0,202403,TO
Y-GEN-1148,242150.0,202404,TO
Y-GEN-1149,261.07,202403,KG
Y-GEN-1149,281.59,202404,KG
Y-GEN-1150,181.48,202403,KG
Y-GEN-1150,230.86,202404,KG
Y-GEN-1151,337.16,202403,KG
Y-GEN-1151,407.31,202404,KG
Y-GEN-1152,121.02,202403,KG
Y-GEN-1152,119.94,202404,KG
Y-GEN-1153,346.45,202403,KG
Y-GEN-1153,448.5,202404,KG
Y-GEN-1154,360.96,202403,KG
Y-GEN-1154,465.59,202404,KG
Y-GEN-1155,416.26,202403,KG
Y-GEN-1155,410.43,202404,KG
Y-GEN-1156,259.83,202403,KG
Y-GEN-1156,295.8,202404,KG
Y-GEN-1157,389.09,202403,KG
Y-GEN-1157,435.63,202404,KG
Y-GEN-1158,340.06,202403,KG
Y-GEN-1158,430.95,202404,KG
Y-GEN-1159,237.0,202403,KG
Y-GEN-1159,278.18,202404,KG
Y-GEN-1160,300.08,202403,KG
Y-GEN-1160,382.9,202404,KG
Y-GEN-1161,158.85,202403,KG
Y-GEN-1161,204.72,202404,KG
Y-GEN-1162,370.79,202403,KG
Y-GEN-1162,475.55,202404,KG
Y-GEN-1163,436.44,202403,KG
Y-GEN-1163,420.96,202404,KG
Y-GEN-1164,295.04,202403,KG
Y-GEN-1164,314.0,202404,KG
Y-GEN-1165,150.49,202403,KG
Y-GEN-1165,188.32,202404,KG
Y-GEN-1166,367.9,202403,KG
Y-GEN-1166,418.76,202404,KG
Y-GEN-1167,125.87,202403,KG
Y-GEN-1167,156.56,202404,KG
Y-GEN-1168,124.92,202403,KG
Y-GEN-1168,148.69,202404,KG
Y-GEN-1169,234.42,202403,KG
Y-GEN-1169,261.95,202404,KG
Y-GEN-1170,140.01,202403,KG
Y-GEN-1170,148.65,202404,KG
Y-GEN-1171,297.27,202403,KG
Y-GEN-1171,382.59,202404,KG
Y-GEN-1172,140.03,202403,KG
Y-GEN-1172,163.75,202404,KG
Y-GEN-1173,154.49,202403,KG
Y-GEN-1173,187.48,202404,KG
Y-GEN-1174,149.16,202403,KG
Y-GEN-1174,181.48,202404,KG
Y-GEN-1175,221.94,202403,KG
Y-GEN-1175,221.23,202404,KG
Y-GEN-1176,444.75,202403,KG
Y-GEN-1176,530.4,202404,KG
Y-GEN-1177,145.43,202403,KG
Y-GEN-1177,141.27,202404,KG
Y-GEN-1178,258.2,202403,KG
Y-GEN-1178,280.12,202404,KG
Y-GEN-1179,262.25,202403,KG
Y-GEN-1179,336.15,202404,KG
Y-GEN-1180,263.25,202403,KG
Y-GEN-1180,264.09,202404,KG
Y-GEN-1181,351.96,202403,KG
Y-GEN-1181,392.54,202404,KG
Y-GEN-1182,292.87,202403,KG
Y-GEN-1182,284.91,202404,KG
Y-GEN-1183,235.94,202403,KG
Y-GEN-1183,246.68,202404,KG
Y-GEN-1184,414.96,202403,KG
Y-GEN-1184,443.1,202404,KG
Y-GEN-1185,439930.0,202403,TO
Y-GEN-1185,531790.0,202404,TO
Y-GEN-1186,250.12,202403,KG
Y-GEN-1186,293.19,202404,KG
Y-GEN-1187,231.94,202403,KG
Y-GEN-1187,246.66,202404,KG
Y-GEN-1188,447.12,202403,KG
Y-GEN-1188,517.39,202404,KG
Y-GEN-1189,387.7,202403,KG
Y-GEN-1189,413.14,202404,KG
Y-GEN-1190,368.5,202403,KG
Y-GEN-1190,384.42,202404,KG
Y-GEN-1191,276.44,202403,KG
Y-GEN-1191,292.96,202404,KG
Y-GEN-1192,139.42,202403,KG
Y-GEN-1192,133.94,202404,KG
Y-GEN-1193,244.21,202403,KG
Y-GEN-1193,286.52,202404,KG
Y-GEN-1194,231.11,202403,KG
Y-GEN-1194,291.63,202404,KG
Y-GEN-1195,344.51,202403,KG
Y-GEN-1195,436.36,202404,KG
Y-GEN-1196,204.58,202403,KG
Y-GEN-1196,249.75,202404,KG
Y-GEN-1197,372.04,202403,KG
Y-GEN-1197,403.08,202404,KG
Y-GEN-1198,192.97,202403,KG
Y-GEN-1198,249.9,202404,KG
Y-GEN-1199,396.87,202403,KG
Y-GEN-1199,377.91,202404,KG
Y-GEN-1200,221.63,202403,KG
Y-GEN-1200,237.77,202404,KG
Y-GEN-1201,334.23,202403,KG
Y-GEN-1201,418.93,202404,KG
Y-GEN-1202,134.25,202403,KG
Y-GEN-1202,162.95,202404,KG
Y-GEN-1203,186.91,202403,KG
Y-GEN-1203,177.78,202404,KG
Y-GEN-1204,394.11,202403,KG
Y-GEN-1204,426.65,202404,KG
Y-GEN-1205,296.46,202403,KG
Y-GEN-1205,359.31,202404,KG
Y-GEN-1206,346.33,202403,KG
Y-GEN-1206,395.43,202404,KG
Y-GEN-1207,379.13,202403,KG
Y-GEN-1207,390.73,202404,KG
Y-GEN-1208,148.85,202403,KG
Y-GEN-1208,172.27,202404,KG
Y-GEN-1209,185.36,202403,KG
Y-GEN-1209,209.1,202404,KG
Y-GEN-1210,283.51,202403,KG
Y-GEN-1210,323.1,202404,KG
Y-GEN-1211,420.78,202403,KG
Y-GEN-1211,438.81,202404,KG
Y-GEN-1212,141.75,202403,KG
Y-GEN-1212,173.13,202404,KG
Y-GEN-1213,169.63,202403,KG
Y-GEN-1213,212.93,202404,KG
Y-GEN-1214,381.37,202403,KG
Y-GEN-1214,426.77,202404,KG
Y-GEN-1215,136.9,202403,KG
Y-GEN-1215,137.14,202404,KG
Y-GEN-1216,167.57,202403,KG
Y-GEN-1216,165.7,202404,KG
Y-GEN-1217,299.05,202403,KG
Y-GEN-1217,345.24,202404,KG
Y-GEN-1218,161.7,202403,KG
Y-GEN-1218,196.94,202404,KG
Y-GEN-1219,362.15,202403,KG
Y-GEN-1219,368.96,202404,KG
Y-GEN-1220,124.78,202403,KG
Y-GEN-1220,151.51,202404,KG
Y-GEN-1221,414.16,202403,KG
Y-GEN-1221,489.48,202404,KG
Y-GEN-1222,127110.0,202403,TO
Y-GEN-1222,148510.0,202404,TO
Y-GEN-1223,157.41,202403,KG
Y-GEN-1223,166.59,202404,KG
Y-GEN-1224,236.09,202403,KG
Y-GEN-1224,250.01,202404,KG
Y-GEN-1225,170.31,202403,KG
Y-GEN-1225,176.56,202404,KG
Y-GEN-1226,313.08,202403,KG
Y-GEN-1226,358.54,202404,KG
Y-GEN-1227,156.36,202403,KG
Y-GEN-1227,154.84,202404,KG
Y-GEN-1228,230.69,202403,KG
Y-GEN-1228,258.95,202404,KG
Y-GEN-1229,124.37,202403,KG
Y-GEN-1229,160.89,202404,KG
Y-GEN-1230,181.55,202403,KG
Y-GEN-1230,189.06,202404,KG
Y-GEN-1231,212.62,202403,KG
Y-GEN-1231,213.29,202404,KG
Y-GEN-1232,413.94,202403,KG
Y-GEN-1232,450.71,202404,KG
Y-GEN-1233,350.7,202403,KG
Y-GEN-1233,372.33,202404,KG
Y-GEN-1234,281.68,202403,KG
Y-GEN-1234,364.68,202404,KG
Y-GEN-1235,179.15,202403,KG
Y-GEN-1235,180.77,202404,KG
Y-GEN-1236,160.56,202403,KG
Y-GEN-1236,158.34,202404,KG
Y-GEN-1237,202.36,202403,KG
Y-GEN-1237,205.47,202404,KG
Y-GEN-1238,410.23,202403,KG
Y-GEN-1238,475.59,202404,KG
Y-GEN-1239,357.48,202403,KG
Y-GEN-1239,380.05,202404,KG
Y-GEN-1240,229.02,202403,KG
Y-GEN-1240,242.12,202404,KG
Y-GEN-1241,324.89,202403,KG
Y-GEN-1241,340.44,202404,KG
Y-GEN-1242,417.0,202403,KG
Y-GEN-1242,500.67,202404,KG
Y-GEN-1243,331.36,202403,KG
Y-GEN-1243,377.44,202404,KG
Y-GEN-1244,257.57,202403,KG
Y-GEN-1244,254.21,202404,KG
Y-GEN-1245,301.61,202403,KG
Y-GEN-1245,309.22,202404,KG
Y-GEN-1246,249.43,202403,KG
Y-GEN-1246,272.7,202404,KG
Y-GEN-1247,403.69,202403,KG
Y-GEN-1247,439.53,202404,KG
Y-GEN-1248,310.76,202403,KG
Y-GEN-1248,297.37,202404,KG
Y-GEN-1249,128.94,202403,KG
Y-GEN-1249,151.1,202404,KG
Y-GEN-1250,132.74,202403,KG
Y-GEN-1250,149.71,202404,KG
Y-GEN-1251,278.72,202403,KG
Y-GEN-1251,327.33,202404,KG
Y-GEN-1252,257.01,202403,KG
Y-GEN-1252,323.44,202404,KG
Y-GEN-1253,268.27,202403,KG
Y-GEN-1253,337.95,202404,KG
Y-GEN-1254,197.31,202403,KG
Y-GEN-1254,200.02,202404,KG
Y-GEN-1255,163.1,202403,KG
Y-GEN-1255,165.96,202404,KG
Y-GEN-1256,210.28,202403,KG
Y-GEN-1256,270.55,202404,KG
Y-GEN-1257,197.66,202403,KG
Y-GEN-1257,189.23,202404,KG
Y-GEN-1258,202.87,202403,KG
Y-GEN-1258,199.13,202404,KG
Y-GEN-1259,176790.0,202403,TO
Y-GEN-1259,176190.0,202404,TO
Y-GEN-1260,385.51,202403,KG
Y-GEN-1260,413.03,202404,KG
Y-GEN-1261,362.82,202403,KG
Y-GEN-1261,369.2,202404,KG
Y-GEN-1262,444.29,202403,KG
Y-GEN-1262,466.41,202404,KG
Y-GEN-1263,152.3,202403,KG
Y-GEN-1263,175.03,202404,KG
Y-GEN-1264,156.59,202403,KG
Y-GEN-1264,172.07,202404,KG
Y-GEN-1265,158.73,202403,KG
Y-GEN-1265,191.41,202404,KG
Y-GEN-1266,146.11,202403,KG
Y-GEN-1266,165.81,202404,KG
Y-GEN-1267,168.58,202403,KG
Y-GEN-1267,214.44,202404,KG
Y-GEN-1268,383.85,202403,KG
Y-GEN-1268,450.88,202404,KG
Y-GEN-1269,437.99,202403,KG
Y-GEN-1269,476.61,202404,KG
Y-GEN-1270,177.2,202403,KG
Y-GEN-1270,183.31,202404,KG
Y-GEN-1271,164.41,202403,KG
Y-GEN-1271,179.36,202404,KG
Y-GEN-1272,295.85,202403,KG
Y-GEN-1272,295.81,202404,KG
Y-GEN-1273,149.51,202403,KG
Y-GEN-1273,152.12,202404,KG
Y-GEN-1274,277.37,202403,KG
Y-GEN-1274,309.51,202404,KG
Y-GEN-1275,447.57,202403,KG
Y-GEN-1275,519.37,202404,KG
Y-GEN-1276,237.23,202403,KG
Y-GEN-1276,255.05,202404,KG
Y-GEN-1277,123.68,202403,KG
Y-GEN-1277,139.7,202404,KG
Y-GEN-1278,337.79,202403,KG
Y-GEN-1278,345.29,202404,KG
Y-GEN-1279,124.94,202403,KG
Y-GEN-1279,156.14,202404,KG
Y-GEN-1280,222.22,202403,KG
Y-GEN-1280,257.38,202404,KG
Y-GEN-1281,191.06,202403,KG
Y-GEN-1281,242.7,202404,KG
Y-GEN-1282,213.1,202403,KG
Y-GEN-1282,246.81,202404,KG
Y-GEN-1283,442.97,202403,KG
Y-GEN-1283,550.47,202404,KG
Y-GEN-1284,347.17,202403,KG
Y-GEN-1284,335.55,202404,KG
Y-GEN-1285,400.2,202403,KG
Y-GEN-1285,446.64,202404,KG
Y-GEN-1286,434.52,202403,KG
Y-GEN-1286,474.47,202404,KG
Y-GEN-1287,144.56,202403,KG
Y-GEN-1287,144.67,202404,KG
Y-GEN-1288,289.16,202403,KG
Y-GEN-1288,326.96,202404,KG
Y-GEN-1289,324.02,202403,KG
Y-GEN-1289,419.32,202404,KG
Y-GEN-1290,414.64,202403,KG
Y-GEN-1290,403.75,202404,KG
Y-GEN-1291,179.23,202403,KG
Y-GEN-1291,195.71,202404,KG
Y-GEN-1292,325.27,202403,KG
Y-GEN-1292,349.21,202404,KG
Y-GEN-1293,431.71,202403,KG
Y-GEN-1293,501.98,202404,KG
Y-GEN-1294,398.85,202403,KG
Y-GEN-1294,437.5,202404,KG
Y-GEN-1295,320.1,202403,KG
Y-GEN-1295,338.19,202404,KG
Y-GEN-1296,167030.0,202403,TO
Y-GEN-1296,180320.0,202404,TO
Y-GEN-1297,415.98,202403,KG
Y-GEN-1297,514.52,202404,KG
Y-GEN-1298,132.34,202403,KG
Y-GEN-1298,159.8,202404,KG
Y-GEN-1299,410.75,202403,KG
Y-GEN-1299,518.08,202404,KG
Y-GEN-1300,153.7,202403,KG
Y-GEN-1300,153.82,202404,KG
Y-GEN-1301,284.52,202403,KG
Y-GEN-1301,341.85,202404,KG
Y-GEN-1302,192.18,202403,KG
Y-GEN-1302,227.27,202404,KG
Y-GEN-1303,215.25,202403,KG
Y-GEN-1303,205.99,202404,KG
Y-GEN-1304,427.77,202403,KG
Y-GEN-1304,490.25,202404,KG
Y-GEN-1305,126.35,202403,KG
Y-GEN-1305,128.71,202404,KG
Y-GEN-1306,264.33,202403,KG
Y-GEN-1306,256.32,202404,KG
Y-GEN-1307,421.41,202403,KG
Y-GEN-1307,520.96,202404,KG
Y-GEN-1308,217.24,202403,KG
Y-GEN-1308,226.05,202404,KG
Y-GEN-1309,378.89,202403,KG
Y-GEN-1309,467.24,202404,KG
Y-GEN-1310,162.71,202403,KG
Y-GEN-1310,170.32,202404,KG
Y-GEN-1311,231.04,202403,KG
Y-GEN-1311,279.26,202404,KG
Y-GEN-1312,390.19,202403,KG
Y-GEN-1312,443.9,202404,KG
Y-GEN-1313,269.71,202403,KG
Y-GEN-1313,309.07,202404,KG
Y-GEN-1314,313.89,202403,KG
Y-GEN-1314,301.54,202404,KG
Y-GEN-1315,225.43,202403,KG
Y-GEN-1315,276.13,202404,KG
Y-GEN-1316,312.6,202403,KG
Y-GEN-1316,315.52,202404,KG
Y-GEN-1317,260.59,202403,KG
Y-GEN-1317,280.06,202404,KG
Y-GEN-1318,305.35,202403,KG
Y-GEN-1318,382.87,202404,KG
Y-GEN-1319,371.34,202403,KG
Y-GEN-1319,474.3,202404,KG
Y-GEN-1320,442.91,202403,KG
Y-GEN-1320,495.34,202404,KG
Y-GEN-1321,171.52,202403,KG
Y-GEN-1321,191.16,202404,KG
Y-GEN-1322,261.05,202403,KG
Y-GEN-1322,302.32,202404,KG
Y-GEN-1323,330.17,202403,KG
Y-GEN-1323,422.5,202404,KG
Y-GEN-1324,349.4,202403,KG
Y-GEN-1324,376.4,202404,KG
Y-GEN-1325,138.6,202403,KG
Y-GEN-1325,142.63,202404,KG
Y-GEN-1326,206.53,202403,KG
Y-GEN-1326,253.74,202404,KG
Y-GEN-1327,373.96,202403,KG
Y-GEN-1327,366.58,202404,KG
Y-GEN-1328,413.33,202403,KG
Y-GEN-1328,460.38,202404,KG
Y-GEN-1329,398.98,202403,KG
Y-GEN-1329,433.93,202404,KG
Y-GEN-1330,430.14,202403,KG
Y-GEN-1330,528.25,202404,KG
Y-GEN-1331,398.41,202403,KG
Y-GEN-1331,428.75,202404,KG
Y-GEN-1332,443.3,202403,KG
Y-GEN-1332,495.55,202404,KG
Y-GEN-1333,120490.0,202403,TO
Y-GEN-1333,116230.0,202404,TO
Y-GEN-1334,266.66,202403,KG
Y-GEN-1334,280.12,202404,KG
Y-GEN-1335,274.26,202403,KG
Y-GEN-1335,284.01,202404,KG
Y-GEN-1336,307.62,202403,KG
Y-GEN-1336,344.74,202404,KG
Y-GEN-1337,227.76,202403,KG
Y-GEN-1337,225.52,202404,KG
Y-GEN-1338,128.12,202403,KG
Y-GEN-1338,147.71,202404,KG
Y-GEN-1339,417.63,202403,KG
Y-GEN-1339,481.59,202404,KG
Y-GEN-1340,339.31,202403,KG
Y-GEN-1340,439.73,202404,KG
Y-GEN-1341,291.86,202403,KG
