fabric_code,prod_plant_code
FAB-W0220,6100
FAB-W0221,7200
FAB-W0222,9100
FAB-W0223,6200
FAB-W0224,7100
FAB-W0225,9200
FAB-W0226,6100
FAB-W0227,7200
FAB-W0228,9100
FAB-W0229,6200
FAB-W0230,7100
FAB-W0231,9200
FAB-W0232,6100
FAB-W0233,7200
FAB-W0234,9100
FAB-W0235,6200
FAB-W0236,7100
FAB-W0237,9200
FAB-W0238,6100
FAB-W0239,7200
FAB-W0240,9100
FAB-W0241,6200
FAB-W0242,7100
FAB-W0243,9200
FAB-W0244,6100
FAB-W0245,7200
FAB-W0246,9100
FAB-W0247,6200
FAB-W0248,7100
FAB-W0249,9200
FAB-W0250,6100
FAB-W0251,7200
FAB-W0252,9100
FAB-W0253,6200
FAB-W0254,7100
FAB-W0255,9200
FAB-W0256,6100
FAB-W0257,7200
FAB-W0258,9100
FAB-W0259,6200
FAB-W0260,7100
FAB-W0261,9200
FAB-W0262,6100
FAB-W0263,7200
FAB-W0264,9100
FAB-W0265,6200
FAB-W0266,7100
FAB-W0267,9200
FAB-W0268,6100
FAB-W0269,7200
FAB-W0270,9100
FAB-W0271,6200
FAB-W0272,7100
FAB-W0273,9200
FAB-W0274,6100
FAB-W0275,7200
FAB-W0276,9100
FAB-W0277,6200
FAB-W0278,7100
FAB-W0279,9200
FAB-W0280,6100
FAB-W0281,7200
FAB-W0282,9100
FAB-W0283,6200
FAB-W0284,7100
FAB-W0285,9200
FAB-W0286,6100
FAB-W0287,7200
FAB-W0288,9100
FAB-W0289,6200
FAB-W0290,7100
FAB-W0291,9200
FAB-W0292,6100
FAB-W0293,7200
FAB-W0294,9100
FAB-W0295,6200
FAB-W0296,7100
FAB-W0297,9200
FAB-W0298,6100
FAB-W0299,7200
FAB-W0300,9100
FAB-W0301,6200
FAB-W0302,7100
FAB-W0303,9200
FAB-W0304,6100
FAB-W0305,7200
FAB-W0306,9100
FAB-W0307,6200
FAB-W0308,7100
FAB-W0309,9200
FAB-W0310,6100
FAB-W0311,7200
FAB-W0312,9100
FAB-W0313,6200
FAB-W0314,7100
FAB-W0315,9200
FAB-W0316,6100
FAB-W0317,7200
FAB-W0318,9100
FAB-W0319,6200
FAB-W0320,7100
FAB-W0321,9200
FAB-W0322,6100
FAB-W0323,7200
FAB-W0324,9100
FAB-W0325,6200
FAB-W0326,7100
FAB-W0327,9200
FAB-W0328,6100
FAB-W0329,7200
FAB-W0330,9100
FAB-W0331,6200
FAB-W0332,7100
FAB-W0333,9200
FAB-W0334,6100
FAB-W0335,7200
FAB-W0336,9100
FAB-W0337,6200
FAB-W0338,7100
FAB-W0339,9200
FAB-W0340,6100
FAB-W0341,7200
FAB-W0342,9100
FAB-W0343,6200
FAB-W0344,7100
FAB-W0345,9200
FAB-W0346,6100
FAB-W0347,7200
FAB-W0348,9100
FAB-W0349,6200
FAB-W0350,7100
FAB-W0351,9200
FAB-W0352,6100
FAB-W0353,7200
FAB-W0354,9100
FAB-W0355,6200
FAB-W0356,7100
FAB-W0357,9200
FAB-W0358,6100
FAB-W0359,7200
FAB-W0360,9100
FAB-W0361,6200
FAB-W0362,7100
FAB-W0363,9200
FAB-W0364,6100
FAB-W0365,7200
FAB-W0366,9100
FAB-W0367,6200
FAB-W0368,7100
FAB-W0369,9200
FAB-W0370,6100
FAB-W0371,7200
FAB-W0372,9100
FAB-W0373,6200
FAB-W0374,7100
FAB-W0375,9200
FAB-W0376,6100
FAB-W0377,7200
FAB-W0378,9100
FAB-W0379,6200
FAB-W0380,7100
FAB-W0381,9200
FAB-W0382,6100
FAB-W0383,7200
FAB-W0384,9100
FAB-W0385,6200
FAB-W0386,7100
FAB-W0387,9200
FAB-W0388,6100
FAB-W0389,7200
FAB-W0390,9100
FAB-W0391,6200
FAB-W0392,7100
FAB-W0393,9200
FAB-W0394,6100
FAB-W0395,7200
FAB-W0396,9100
FAB-W0397,6200
FAB-W0398,7100
FAB-W0399,9200
FAB-W0400,6100
FAB-W0401,7200
FAB-W0402,9100
FAB-W0403,6200
FAB-W0404,7100
FAB-W0405,9200
FAB-W0406,6100
FAB-W0407,7200
FAB-W0408,9100
FAB-W0409,6200
FAB-W0410,7100
FAB-W0411,9200
FAB-W0412,6100
FAB-W0413,7200
FAB-W0414,9100
FAB-W0415,6200
FAB-W0416,7100
FAB-W0417,9200
FAB-W0418,6100
FAB-W0419,7200
FAB-W0420,9100
FAB-W0421,6200
FAB-W0422,7100
FAB-W0423,9200
FAB-W0424,6100
FAB-W0425,7200
FAB-W0426,9100
FAB-W0427,6200
FAB-W0428,7100
FAB-W0429,9200
FAB-W0430,6100
FAB-W0431,7200
FAB-W0432,9100
FAB-W0433,6200
FAB-W0434,7100
FAB-W0435,9200
FAB-W0436,6100
FAB-W0437,7200
FAB-W0438,9100
FAB-W0439,6200
FAB-W0440,7100
FAB-W0441,9200
FAB-W0442,6100
FAB-W0443,7200
FAB-W0444,9100
FAB-W0445,6200
FAB-W0446,7100
FAB-W0447,9200
FAB-W0448,6100
FAB-W0449,7200
FAB-W0450,9100
FAB-W0451,6200
FAB-W0452,7100
FAB-W0453,9200
FAB-W0454,6100
FAB-W0455,7200
FAB-W0456,9100
FAB-W0457,6200
FAB-W0458,7100
FAB-W0459,9200
FAB-W0460,6100
FAB-W0461,7200
FAB-W0462,9100
FAB-W0463,6200
FAB-W0464,7100
FAB-W0465,9200
FAB-W0466,6100
FAB-W0467,7200
FAB-W0468,9100
FAB-W0469,6200
FAB-W0470,7100
FAB-W0471,9200
FAB-W0472,6100
FAB-W0473,7200
FAB-W0474,9100
FAB-W0475,6200
FAB-W0476,7100
FAB-W0477,9200
FAB-W0478,6100
FAB-W0479,7200
FAB-W0480,9100
FAB-W0481,6200
FAB-W0482,7100
FAB-W0483,9200
FAB-W0484,6100
FAB-W0485,7200
FAB-W0486,9100
FAB-W0487,6200
FAB-W0488,7100
FAB-W0489,9200
FAB-W0490,6100
FAB-W0491,7200
FAB-W0492,9100
FAB-W0493,6200
FAB-W0494,7100
FAB-W0495,9200
FAB-W0496,6100
FAB-W0497,7200
FAB-W0498,9100
FAB-W0499,6200
FAB-W0500,7100
FAB-W0501,9200
FAB-W0502,6100
FAB-W0503,7200
FAB-W0504,9100
FAB-W0505,6200
FAB-W0506,7100
FAB-W0507,9200
FAB-W0508,6100
FAB-W0509,7200
FAB-W0510,9100
FAB-W0511,6200
FAB-W0512,7100
FAB-W0513,9200
FAB-W0514,6100
FAB-W0515,7200
FAB-W0516,9100
FAB-W0517,6200
FAB-W0518,7100
FAB-W0519,9200
FAB-W0520,6100
FAB-W0521,7200
FAB-W0522,9100
FAB-W0523,6200
FAB-W0524,7100
FAB-W0525,9200
FAB-W0526,6100
FAB-W0527,7200
FAB-W0528,9100
FAB-W0529,6200
FAB-W0530,7100
FAB-W0531,9200
FAB-W0532,6100
FAB-W0533,7200
FAB-W0534,9100
FAB-W0535,6200
FAB-W0536,7100
FAB-W0537,9200
FAB-W0538,6100
FAB-W0539,7200
FAB-W0540,9100
FAB-W0541,6200
FAB-W0542,7100
FAB-W0543,9200
FAB-W0544,6100
FAB-W0545,7200
FAB-W0546,9100
FAB-W0547,6200
FAB-W0548,7100
FAB-W0549,9200
FAB-W0550,6100
FAB-W0551,7200
FAB-W0552,9100
FAB-W0553,6200
FAB-W0554,7100
FAB-W0555,9200
FAB-W0556,6100
FAB-W0557,7200
FAB-W0558,9100
FAB-W0559,6200
FAB-W0560,7100
FAB-W0561,9200
FAB-W0562,6100
FAB-W0563,7200
FAB-W0564,9100
FAB-W0565,6200
FAB-W0566,7100
FAB-W0567,9200
FAB-W0568,6100
FAB-W0569,7200
FAB-W0570,9100
FAB-W0571,6200
FAB-W0572,7100
FAB-W0573,9200
FAB-W0574,6100
FAB-W0575,7200
FAB-W0576,9100
FAB-W0577,6200
FAB-W0578,7100
FAB-W0579,9200
FAB-W0580,6100
FAB-W0581,7200
FAB-W0582,9100
FAB-W0583,6200
FAB-W0584,7100
FAB-W0585,9200
FAB-W0586,6100
FAB-W0587,7200
FAB-W0588,9100
FAB-W0589,6200
FAB-W0590,7100
FAB-W0591,9200
FAB-W0592,6100
FAB-W0593,7200
FAB-W0594,9100
FAB-W0595,6200
FAB-W0596,7100
FAB-W0597,9200
FAB-W0598,6100
FAB-W0599,7200
FAB-W0600,9100
FAB-W0601,6200
FAB-W0602,7100
FAB-W0603,9200
FAB-W0604,6100
FAB-W0605,7200
FAB-W0606,9100
FAB-W0607,6200
FAB-W0608,7100
FAB-W0609,9200
FAB-W0610,6100
FAB-W0611,7200
FAB-W0612,9100
FAB-W0613,6200
FAB-W0614,7100
FAB-W0615,9200
FAB-W0616,6100
FAB-W0617,7200
FAB-W0618,9100
FAB-W0619,6200
FAB-W0620,7100
FAB-W0621,9200
FAB-W0622,6100
FAB-W0623,7200
FAB-W0624,9100
FAB-W0625,6200
FAB-W0626,7100
FAB-W0627,9200
FAB-W0628,6100
FAB-W0629,7200
FAB-W0630,9100
FAB-W0631,6200
FAB-W0632,7100
FAB-W0633,9200
FAB-W0634,6100
FAB-W0635,7200
FAB-W0636,9100
FAB-W0637,6200
FAB-W0638,7100
FAB-W0639,9200
FAB-W0640,6100
FAB-W0641,7200
FAB-W0642,9100
FAB-W0643,6200
FAB-W0644,7100
FAB-W0645,9200
FAB-W0646,6100
FAB-W0647,7200
FAB-W0648,9100
FAB-W0649,6200
FAB-W0650,7100
FAB-W0651,9200
FAB-W0652,6100
FAB-W0653,7200
FAB-W0654,9100
FAB-W0655,6200
FAB-W0656,7100
FAB-W0657,9200
FAB-W0658,6100
FAB-W0659,7200
FAB-W0660,9100
FAB-W0661,6200
FAB-W0662,7100
FAB-W0663,9200
FAB-W0664,6100
FAB-W0665,7200
FAB-W0666,9100
FAB-W0667,6200
FAB-W0668,7100
FAB-W0669,9200
FAB-W0670,6100
FAB-W0671,7200
FAB-W0672,9100
FAB-W0673,6200
FAB-W0674,7100
FAB-W0675,9200
FAB-W0676,6100
FAB-W0677,7200
FAB-W0678,9100
FAB-W0679,6200
FAB-W0680,7100
FAB-W0681,9200
FAB-W0682,6100
FAB-W0683,7200
FAB-W0684,9100
FAB-W0685,6200
FAB-W0686,7100
FAB-W0687,9200
FAB-W0688,6100
FAB-W0689,7200
FAB-W0690,9100
FAB-W0691,6200
FAB-W0692,7100
FAB-W0693,9200
FAB-W0694,6100
FAB-W0695,7200
FAB-W0696,9100
FAB-W0697,6200
FAB-W0698,7100
FAB-W0699,9200
FAB-W0700,6100
FAB-W0701,7200
FAB-W0702,9100
FAB-W0703,6200
FAB-W0704,7100
FAB-W0705,9200
FAB-W0706,6100
FAB-W0707,7200
FAB-W0708,9100
FAB-W0709,6200
FAB-W0710,7100
FAB-W0711,9200
FAB-W0712,6100
FAB-W0713,7200
FAB-W0714,9100
FAB-W0715,6200
FAB-W0716,7100
FAB-W0717,9200
FAB-W0718,6100
FAB-W0719,7200
FAB-W0720,9100
FAB-W0721,6200
FAB-W0722,7100
FAB-W0723,9200
FAB-W0724,6100
FAB-W0725,7200
FAB-W0726,9100
FAB-W0727,6200
FAB-W0728,7100
FAB-W0729,9200
FAB-W0730,6100
FAB-W0731,7200
FAB-W0732,9100
FAB-W0733,6200
FAB-W0734,7100
FAB-W0735,9200
FAB-W0736,6100
FAB-W0737,7200
FAB-W0738,9100
FAB-W0739,6200
FAB-W0740,7100
FAB-W0741,9200
FAB-W0742,6100
FAB-W0743,7200
FAB-W0744,9100
FAB-W0745,6200
FAB-W0746,7100
FAB-W0747,9200
FAB-W0748,6100
FAB-W0749,7200
FAB-W0750,9100
FAB-W0751,6200
FAB-W0752,7100
FAB-W0753,9200
FAB-W0754,6100
FAB-W0755,7200
FAB-W0756,9100
FAB-W0757,6200
FAB-W0758,7100
FAB-W0759,9200
FAB-W0760,6100
FAB-W0761,7200
FAB-W0762,9100
FAB-W0763,6200
FAB-W0764,7100
FAB-W0765,9200
FAB-W0766,6100
FAB-W0767,7200
FAB-W0768,9100
FAB-W0769,6200
FAB-W0770,7100
FAB-W0771,9200
FAB-W0772,6100
FAB-W0773,7200
FAB-W0774,9100
FAB-W0775,6200
FAB-W0776,7100
FAB-W0777,9200
FAB-W0778,6100
FAB-W0779,7200
FAB-W0780,9100
FAB-W0781,6200
FAB-W0782,7100
FAB-W0783,9200
FAB-W0784,6100
FAB-W0785,7200
FAB-W0786,9100
FAB-W0787,6200
FAB-W0788,7100
FAB-W0789,9200
FAB-W0790,6100
FAB-W0791,7200
FAB-W0792,9100
FAB-W0793,6200
FAB-W0794,7100
FAB-W0795,9200
FAB-W0796,6100
FAB-W0797,7200
FAB-W0798,9100
FAB-W0799,6200
FAB-W0800,7100
FAB-W0801,9200
FAB-W0802,6100
FAB-W0803,7200
FAB-W0804,9100
FAB-W0805,6200
FAB-W0806,7100
FAB-W0807,9200
FAB-W0808,6100
FAB-W0809,7200
FAB-W0810,9100
FAB-W0811,6200
FAB-W0812,7100
FAB-W0813,9200
FAB-W0814,6100
FAB-W0815,7200
FAB-W0816,9100
FAB-W0817,6200
FAB-W0818,7100
FAB-W0819,9200
FAB-W0820,6100
FAB-W0821,7200
FAB-W0822,9100
FAB-W0823,6200
FAB-W0824,7100
FAB-W0825,9200
FAB-W0826,6100
FAB-W0827,7200
FAB-W0828,9100
FAB-W0829,6200
FAB-W0830,7100
FAB-W0831,9200
FAB-W0832,6100
FAB-W0833,7200
FAB-W0834,9100
FAB-W0835,6200
FAB-W0836,7100
FAB-W0837,9200
FAB-W0838,6100
FAB-W0839,7200
FAB-W0840,9100
FAB-W0841,6200
FAB-W0842,7100
FAB-W0843,9200
FAB-W0844,6100
FAB-W0845,7200
FAB-W0846,9100
FAB-W0847,6200
FAB-W0848,7100
FAB-W0849,9200
FAB-W0850,6100
FAB-W0851,7200
FAB-W0852,9100
FAB-W0853,6200
FAB-W0854,7100
FAB-W0855,9200
FAB-W0856,6100
FAB-W0857,7200
FAB-W0858,9100
FAB-W0859,6200
FAB-W0860,7100
FAB-W0861,9200
FAB-W0862,6100
FAB-W0863,7200
FAB-W0864,9100
FAB-W0865,6200
FAB-W0866,7100
FAB-W0867,9200
FAB-W0868,6100
FAB-W0869,7200
FAB-W0870,9100
FAB-W0871,6200
FAB-W0872,7100
FAB-W0873,9200
FAB-W0874,6100
FAB-W0875,7200
FAB-W0876,9100
FAB-W0877,6200
FAB-W0878,7100
FAB-W0879,9200
FAB-W0880,6100
FAB-W0881,7200
FAB-W0882,9100
FAB-W0883,6200
FAB-W0884,7100
FAB-W0885,9200
FAB-W0886,6100
FAB-W0887,7200
FAB-W0888,9100
FAB-W0889,6200
FAB-W0890,7100
FAB-W0891,9200
FAB-W0892,6100
FAB-W0893,7200
FAB-W0894,9100
FAB-W0895,6200
FAB-W0896,7100
FAB-W0897,9200
FAB-W0898,6100
FAB-W0899,7200
FAB-W0900,9100
FAB-W0901,6200
FAB-W0902,7100
FAB-W0903,9200
FAB-W0904,6100
FAB-W0905,7200
FAB-W0906,9100
FAB-W0907,6200
FAB-W0908,7100
FAB-W0909,9200
FAB-W0910,6100
FAB-W0911,7200
FAB-W0912,9100
FAB-W0913,6200
FAB-W0914,7100
FAB-W0915,9200
FAB-W0916,6100
FAB-W0917,7200
FAB-W0918,9100
FAB-W0919,6200
FAB-W0920,7100
FAB-W0921,9200
FAB-W0922,6100
FAB-W0923,7200
FAB-W0924,9100
FAB-W0925,6200
FAB-W0926,7100
FAB-W0927,9200
FAB-W0928,6100
FAB-W0929,7200
FAB-W0930,9100
FAB-W0931,6200
FAB-W0932,7100
FAB-W0933,9200
FAB-W0934,6100
FAB-W0935,7200
FAB-W0936,9100
FAB-W0937,6200
FAB-W0938,7100
FAB-W0939,9200
FAB-W0940,6100
FAB-W0941,7200
FAB-W0942,9100
FAB-W0943,6200
FAB-W0944,7100
FAB-W0945,9200
FAB-W0946,6100
FAB-W0947,7200
FAB-W0948,9100
FAB-W0949,6200
FAB-W0950,7100
FAB-W0951,9200
FAB-W0952,6100
FAB-W0953,7200
FAB-W0954,9100
FAB-W0955,6200
FAB-W0956,7100
FAB-W0957,9200
FAB-W0958,6100
FAB-W0959,7200
FAB-W0960,9100
FAB-W0961,6200
FAB-W0962,7100
FAB-W0963,9200
FAB-W0964,6100
FAB-W0965,7200
FAB-W0966,9100
FAB-W0967,6200
FAB-W0968,7100
FAB-W0969,9200
FAB-W0970,6100
FAB-W0971,7200
FAB-W0972,9100
FAB-W0973,6200
FAB-W0974,7100
FAB-W0975,9200
FAB-W0976,6100
FAB-W0977,7200
FAB-W0978,9100
FAB-W0979,6200
FAB-W0980,7100
FAB-W0981,9200
FAB-W0982,6100
FAB-W0983,7200
FAB-W0984,9100
FAB-W0985,6200
FAB-W0986,7100
FAB-W0987,9200
FAB-W0988,6100
FAB-W0989,7200
FAB-W0990,9100
FAB-W0991,6200
FAB-W0992,7100
FAB-W0993,9200
FAB-W0994,6100
FAB-W0995,7200
FAB-W0996,9100
FAB-W0997,6200
FAB-W0998,7100
FAB-W0999,9200
FAB-W1000,6100
FAB-W1001,7200
FAB-W1002,9100
FAB-W1003,6200
FAB-W1004,7100
FAB-W1005,9200
FAB-W1006,6100
FAB-W1007,7200
FAB-W1008,9100
FAB-W1009,6200
FAB-W1010,7100
FAB-W1011,9200
FAB-W1012,6100
FAB-W1013,7200
FAB-W1014,9100
FAB-W1015,6200
FAB-W1016,7100
FAB-W1017,9200
FAB-W1018,6100
FAB-W1019,7200
FAB-W1020,9100
FAB-W1021,6200
FAB-W1022,7100
FAB-W1023,9200
FAB-W1024,6100
FAB-W1025,7200
FAB-W1026,9100
FAB-W1027,6200
FAB-W1028,7100
FAB-W1029,9200
FAB-W1030,6100
FAB-W1031,7200
FAB-W1032,9100
FAB-W1033,6200
FAB-W1034,7100
FAB-W1035,9200
FAB-W1036,6100
FAB-W1037,7200
FAB-W1038,9100
FAB-W1039,6200
FAB-W1040,7100
FAB-W1041,9200
FAB-W1042,6100
FAB-W1043,7200
FAB-W1044,9100
FAB-W1045,6200
FAB-W1046,7100
FAB-W1047,9200
FAB-W1048,6100
FAB-W1049,7200
FAB-W1050,9100
FAB-W1051,6200
FAB-W1052,7100
FAB-W1053,9200
FAB-W1054,6100
FAB-W1055,7200
FAB-W1056,9100
FAB-W1057,6200
FAB-W1058,7100
FAB-W1059,9200
FAB-W1060,6100
FAB-W1061,7200
FAB-W1062,9100
FAB-W1063,6200
FAB-W1064,7100
FAB-W1065,9200
FAB-W1066,6100
FAB-W1067,7200
FAB-W1068,9100
FAB-W1069,6200
FAB-W1070,7100
FAB-W1071,9200
FAB-W1072,6100
FAB-W1073,7200
FAB-W1074,9100
FAB-W1075,6200
FAB-W1076,7100
FAB-W1077,9200
FAB-W1078,6100
FAB-W1079,7200
FAB-W1080,9100
FAB-W1081,6200
FAB-W1082,7100
FAB-W1083,9200
FAB-W1084,6100
FAB-W1085,7200
FAB-W1086,9100
FAB-W1087,6200
FAB-W1088,7100
FAB-W1089,9200
FAB-W1090,6100
FAB-W1091,7200
FAB-W1092,9100
FAB-W1093,6200
FAB-W1094,7100
FAB-W1095,9200
FAB-W1096,6100
FAB-W1097,7200
FAB-W1098,9100
FAB-W1099,6200
FAB-W1100,7100
FAB-W1101,9200
FAB-W1102,6100
FAB-W1103,7200
FAB-W1104,9100
FAB-W1105,6200
FAB-W1106,7100
FAB-W1107,9200
FAB-W1108,6100
FAB-W1109,7200
FAB-W1110,9100
FAB-W1111,6200
FAB-W1112,7100
FAB-W1113,9200
FAB-W1114,6100
FAB-W1115,7200
FAB-W1116,9100
FAB-W1117,6200
FAB-W1118,7100
FAB-W1119,9200
FAB-W1120,6100
FAB-W1121,7200
FAB-W1122,9100
FAB-W1123,6200
FAB-W1124,7100
FAB-W1125,9200
FAB-W1126,6100
FAB-W1127,7200
FAB-W1128,9100
FAB-W1129,6200
FAB-W1130,7100
FAB-W1131,9200
FAB-W1132,6100
FAB-W1133,7200
FAB-W1134,9100
FAB-W1135,6200
FAB-W1136,7100
FAB-W1137,9200
FAB-W1138,6100
FAB-W1139,7200
FAB-W1140,9100
FAB-W1141,6200
FAB-W1142,7100
FAB-W1143,9200
FAB-W1144,6100
FAB-W1145,7200
FAB-W1146,9100
FAB-W1147,6200
FAB-W1148,7100
FAB-W1149,9200
FAB-W1150,6100
FAB-W1151,7200
FAB-W1152,9100
FAB-W1153,6200
FAB-W1154,7100
FAB-W1155,9200
FAB-W1156,6100
FAB-W1157,7200
FAB-W1158,9100
FAB-W1159,6200
FAB-W1160,7100
FAB-W1161,9200
FAB-W1162,6100
FAB-W1163,7200
FAB-W1164,9100
FAB-W1165,6200
FAB-W1166,7100
FAB-W1167,9200
FAB-W1168,6100
FAB-W1169,7200
FAB-W1170,9100
FAB-W1171,6200
FAB-W1172,7100
FAB-W1173,9200
FAB-W1174,6100
FAB-W1175,7200
FAB-W1176,9100
FAB-W1177,6200
FAB-W1178,7100
FAB-W1179,9200
FAB-W1180,6100
FAB-W1181,7200
FAB-W1182,9100
FAB-W1183,6200
FAB-W1184,7100
FAB-W1185,9200
FAB-W1186,6100
FAB-W1187,7200
FAB-W1188,9100
FAB-W1189,6200
FAB-W1190,7100
FAB-W1191,9200
FAB-W1192,6100
FAB-W1193,7200
FAB-W1194,9100
FAB-W1195,6200
FAB-W1196,7100
FAB-W1197,9200
FAB-W1198,6100
FAB-W1199,7200
FAB-W1200,9100
FAB-W1201,6200
FAB-W1202,7100
FAB-W1203,9200
FAB-W1204,6100
FAB-W1205,7200
FAB-W1206,9100
FAB-W1207,6200
FAB-W1208,7100
FAB-W1209,9200
FAB-W1210,6100
FAB-W1211,7200
FAB-W1212,9100
FAB-W1213,6200
FAB-W1214,7100
FAB-W1215,9200
FAB-W1216,6100
FAB-W1217,7200
FAB-W1218,9100
FAB-W1219,6200
FAB-W1220,7100
FAB-W1221,9200
FAB-W1222,6100
FAB-W1223,7200
FAB-W1224,9100
FAB-W1225,6200
FAB-W1226,7100
FAB-W1227,9200
FAB-W1228,6100
FAB-W1229,7200
FAB-W1230,9100
FAB-W1231,6200
FAB-W1232,7100
FAB-W1233,9200
FAB-W1234,6100
FAB-W1235,7200
FAB-W1236,9100
FAB-W1237,6200
FAB-W1238,7100
FAB-W1239,9200
FAB-W1240,6100
FAB-W1241,7200
FAB-W1242,9100
FAB-W1243,6200
FAB-W1244,7100
FAB-W1245,9200
FAB-W1246,6100
FAB-W1247,7200
FAB-W1248,9100
FAB-W1249,6200
FAB-W1250,7100
FAB-W1251,9200
FAB-W1252,6100
FAB-W1253,7200
FAB-W1254,9100
FAB-W1255,6200
FAB-W1256,7100
FAB-W1257,9200
FAB-W1258,6100
FAB-W1259,7200
FAB-W1260,9100
FAB-W1261,6200
FAB-W1262,7100
FAB-W1263,9200
FAB-W1264,6100
FAB-W1265,7200
FAB-W1266,9100
FAB-W1267,6200
FAB-W1268,7100
FAB-W1269,9200
FAB-W1270,6100
