fabric_code,product_category,distribution_channel,production_plant
FAB-W0047,EXPORT,CH01,7100
FAB-W0048,DOMESTIC,CH02,9100
FAB-W0049,EXPORT,CH03,6100
FAB-W0050,DOMESTIC,CH04,7100
FAB-W0051,EXPORT,CH01,9100
FAB-W0052,DOMESTIC,CH02,6100
FAB-W0053,EXPORT,CH03,7100
FAB-W0054,DOMESTIC,CH04,9100
FAB-W0055,EXPORT,CH01,6100
FAB-W0056,DOMESTIC,CH02,7100
FAB-W0057,EXPORT,CH03,9100
FAB-W0058,DOMESTIC,CH04,6100
FAB-W0059,EXPORT,CH01,7100
FAB-W0060,DOMESTIC,CH02,9100
FAB-W0061,EXPORT,CH03,6100
FAB-W0062,DOMESTIC,CH04,7100
FAB-W0063,EXPORT,CH01,9100
FAB-W0064,DOMESTIC,CH02,6100
FAB-W0065,EXPORT,CH03,7100
FAB-W0066,DOMESTIC,CH04,9100
FAB-W0067,EXPORT,CH01,6100
FAB-W0068,DOMESTIC,CH02,7100
FAB-W0069,EXPORT,CH03,9100
FAB-W0070,DOMESTIC,CH04,6100
FAB-W0071,EXPORT,CH01,7100
FAB-W0072,DOMESTIC,CH02,9100
FAB-W0073,EXPORT,CH03,6100
FAB-W0074,DOMESTIC,CH04,7100
FAB-W0075,EXPORT,CH01,9100
FAB-W0076,DOMESTIC,CH02,6100
FAB-W0077,EXPORT,CH03,7100
FAB-W0078,DOMESTIC,CH04,9100
FAB-W0079,EXPORT,CH01,6100
FAB-W0080,DOMESTIC,CH02,7100
FAB-W0081,EXPORT,CH03,9100
FAB-W0082,DOMESTIC,CH04,6100
FAB-W0083,EXPORT,CH01,7100
FAB-W0084,DOMESTIC,CH02,9100
FAB-W0085,EXPORT,CH03,6100
FAB-W0086,DOMESTIC,CH04,7100
FAB-W0087,EXPORT,CH01,9100
FAB-W0088,DOMESTIC,CH02,6100
FAB-W0089,EXPORT,CH03,7100
FAB-W0090,DOMESTIC,CH04,9100
FAB-W0091,EXPORT,CH01,6100
FAB-W0092,DOMESTIC,CH02,7100
FAB-W0093,EXPORT,CH03,9100
FAB-W0094,DOMESTIC,CH04,6100
FAB-W0095,EXPORT,CH01,7100
FAB-W0096,DOMESTIC,CH02,9100
FAB-W0097,EXPORT,CH03,6100
FAB-W0098,DOMESTIC,CH04,7100
FAB-W0099,EXPORT,CH01,9100
FAB-W0100,DOMESTIC,CH02,6100
FAB-W0101,EXPORT,CH03,7100
FAB-W0102,DOMESTIC,CH04,9100
FAB-W0103,EXPORT,CH01,6100
FAB-W0104,DOMESTIC,CH02,7100
FAB-W0105,EXPORT,CH03,9100
FAB-W0106,DOMESTIC,CH04,6100
FAB-W0107,EXPORT,CH01,7100
FAB-W0108,DOMESTIC,CH02,9100
FAB-W0109,EXPORT,CH03,6100
FAB-W0110,DOMESTIC,CH04,7100
FAB-W0111,EXPORT,CH01,9100
FAB-W0112,DOMESTIC,CH02,6100
FAB-W0113,EXPORT,CH03,7100
FAB-W0114,DOMESTIC,CH04,9100
FAB-W0115,EXPORT,CH01,6100
FAB-W0116,DOMESTIC,CH02,7100
FAB-W0117,EXPORT,CH03,9100
FAB-W0118,DOMESTIC,CH04,6100
FAB-W0119,EXPORT,CH01,7100
FAB-W0120,DOMESTIC,CH02,9100
FAB-W0121,EXPORT,CH03,6100
FAB-W0122,DOMESTIC,CH04,7100
FAB-W0123,EXPORT,CH01,9100
FAB-W0124,DOMESTIC,CH02,6100
FAB-W0125,EXPORT,CH03,7100
FAB-W0126,DOMESTIC,CH04,9100
FAB-W0127,EXPORT,CH01,6100
FAB-W0128,DOMESTIC,CH02,7100
FAB-W0129,EXPORT,CH03,9100
FAB-W0130,DOMESTIC,CH04,6100
FAB-W0131,EXPORT,CH01,7100
FAB-W0132,DOMESTIC,CH02,9100
FAB-W0133,EXPORT,CH03,6100
FAB-W0134,DOMESTIC,CH04,7100
FAB-W0135,EXPORT,CH01,9100
FAB-W0136,DOMESTIC,CH02,6100
FAB-W0137,EXPORT,CH03,7100
FAB-W0138,DOMESTIC,CH04,9100
FAB-W0139,EXPORT,CH01,6100
FAB-W0140,DOMESTIC,CH02,7100
FAB-W0141,EXPORT,CH03,9100
FAB-W0142,DOMESTIC,CH04,6100
FAB-W0143,EXPORT,CH01,7100
FAB-W0144,DOMESTIC,CH02,9100
FAB-W0145,EXPORT,CH03,6100
FAB-W0146,DOMESTIC,CH04,7100
FAB-W0147,EXPORT,CH01,9100
FAB-W0148,DOMESTIC,CH02,6100
FAB-W0149,EXPORT,CH03,7100
FAB-W0150,DOMESTIC,CH04,9100
FAB-W0151,EXPORT,CH01,6100
FAB-W0152,DOMESTIC,CH02,7100
FAB-W0153,EXPORT,CH03,9100
FAB-W0154,DOMESTIC,CH04,6100
FAB-W0155,EXPORT,CH01,7100
FAB-W0156,DOMESTIC,CH02,9100
FAB-W0157,EXPORT,CH03,6100
FAB-W0158,DOMESTIC,CH04,7100
FAB-W0159,EXPORT,CH01,9100
FAB-W0160,DOMESTIC,CH02,6100
FAB-W0161,EXPORT,CH03,7100
FAB-W0162,DOMESTIC,CH04,9100
FAB-W0163,EXPORT,CH01,6100
FAB-W0164,DOMESTIC,CH02,7100
FAB-W0165,EXPORT,CH03,9100
FAB-W0166,DOMESTIC,CH04,6100
FAB-W0167,EXPORT,CH01,7100
FAB-W0168,DOMESTIC,CH02,9100
FAB-W0169,EXPORT,CH03,6100
FAB-W0170,DOMESTIC,CH04,7100
FAB-W0171,EXPORT,CH01,9100
FAB-W0172,DOMESTIC,CH02,6100
FAB-W0173,EXPORT,CH03,7100
FAB-W0174,DOMESTIC,CH04,9100
FAB-W0175,EXPORT,CH01,6100
FAB-W0176,DOMESTIC,CH02,7100
FAB-W0177,EXPORT,CH03,9100
FAB-W0178,DOMESTIC,CH04,6100
FAB-W0179,EXPORT,CH01,7100
FAB-W0180,DOMESTIC,CH02,9100
FAB-W0181,EXPORT,CH03,6100
FAB-W0182,DOMESTIC,CH04,7100
FAB-W0183,EXPORT,CH01,9100
FAB-W0184,DOMESTIC,CH02,6100
FAB-W0185,EXPORT,CH03,7100
FAB-W0186,DOMESTIC,CH04,9100
FAB-W0187,EXPORT,CH01,6100
FAB-W0188,DOMESTIC,CH02,7100
FAB-W0189,EXPORT,CH03,9100
FAB-W0190,DOMESTIC,CH04,6100
FAB-W0191,EXPORT,CH01,7100
FAB-W0192,DOMESTIC,CH02,9100
FAB-W0193,EXPORT,CH03,6100
FAB-W0194,DOMESTIC,CH04,7100
FAB-W0195,EXPORT,CH01,9100
FAB-W0196,DOMESTIC,CH02,6100
FAB-W0197,EXPORT,CH03,7100
FAB-W0198,DOMESTIC,CH04,9100
FAB-W0199,EXPORT,CH01,6100
FAB-W0200,DOMESTIC,CH02,7100
FAB-W0201,EXPORT,CH03,9100
FAB-W0202,DOMESTIC,CH04,6100
FAB-W0203,EXPORT,CH01,7100
FAB-W0204,DOMESTIC,CH02,9100
FAB-W0205,EXPORT,CH03,6100
FAB-W0206,DOMESTIC,CH04,7100
FAB-W0207,EXPORT,CH01,9100
FAB-W0208,DOMESTIC,CH02,6100
FAB-W0209,EXPORT,CH03,7100
FAB-W0210,DOMESTIC,CH04,9100
FAB-W0211,EXPORT,CH01,6100
FAB-W0212,DOMESTIC,CH02,7100
FAB-W0213,EXPORT,CH03,9100
FAB-W0214,DOMESTIC,CH04,6100
FAB-W0215,EXPORT,CH01,7100
FAB-W0216,DOMESTIC,CH02,9100
FAB-W0217,EXPORT,CH03,6100
FAB-W0218,DOMESTIC,CH04,7100
FAB-W0219,EXPORT,CH01,9100
FAB-W0220,DOMESTIC,CH02,6100
FAB-W0221,EXPORT,CH03,7100
FAB-W0222,DOMESTIC,CH04,9100
FAB-W0223,EXPORT,CH01,6100
FAB-W0224,DOMESTIC,CH02,7100
FAB-W0225,EXPORT,CH03,9100
FAB-W0226,DOMESTIC,CH04,6100
FAB-W0227,EXPORT,CH01,7100
FAB-W0228,DOMESTIC,CH02,9100
FAB-W0229,EXPORT,CH03,6100
FAB-W0230,DOMESTIC,CH04,7100
FAB-W0231,EXPORT,CH01,9100
FAB-W0232,DOMESTIC,CH02,6100
FAB-W0233,EXPORT,CH03,7100
FAB-W0234,DOMESTIC,CH04,9100
FAB-W0235,EXPORT,CH01,6100
FAB-W0236,DOMESTIC,CH02,7100
FAB-W0237,EXPORT,CH03,9100
FAB-W0238,DOMESTIC,CH04,6100
FAB-W0239,EXPORT,CH01,7100
FAB-W0240,DOMESTIC,CH02,9100
FAB-W0241,EXPORT,CH03,6100
FAB-W0242,DOMESTIC,CH04,7100
FAB-W0243,EXPORT,CH01,9100
FAB-W0244,DOMESTIC,CH02,6100
FAB-W0245,EXPORT,CH03,7100
FAB-W0246,DOMESTIC,CH04,9100
FAB-W0247,EXPORT,CH01,6100
FAB-W0248,DOMESTIC,CH02,7100
FAB-W0249,EXPORT,CH03,9100
FAB-W0250,DOMESTIC,CH04,6100
FAB-W0251,EXPORT,CH01,7100
FAB-W0252,DOMESTIC,CH02,9100
FAB-W0253,EXPORT,CH03,6100
FAB-W0254,DOMESTIC,CH04,7100
FAB-W0255,EXPORT,CH01,9100
FAB-W0256,DOMESTIC,CH02,6100
FAB-W0257,EXPORT,CH03,7100
FAB-W0258,DOMESTIC,CH04,9100
FAB-W0259,EXPORT,CH01,6100
FAB-W0260,DOMESTIC,CH02,7100
FAB-W0261,EXPORT,CH03,9100
FAB-W0262,DOMESTIC,CH04,6100
FAB-W0263,EXPORT,CH01,7100
FAB-W0264,DOMESTIC,CH02,9100
FAB-W0265,EXPORT,CH03,6100
FAB-W0266,DOMESTIC,CH04,7100
FAB-W0267,EXPORT,CH01,9100
FAB-W0268,DOMESTIC,CH02,6100
FAB-W0269,EXPORT,CH03,7100
FAB-W0270,DOMESTIC,CH04,9100
FAB-W0271,EXPORT,CH01,6100
FAB-W0272,DOMESTIC,CH02,7100
FAB-W0273,EXPORT,CH03,9100
FAB-W0274,DOMESTIC,CH04,6100
FAB-W0275,EXPORT,CH01,7100
FAB-W0276,DOMESTIC,CH02,9100
FAB-W0277,EXPORT,CH03,6100
FAB-W0278,DOMESTIC,CH04,7100
FAB-W0279,EXPORT,CH01,9100
FAB-W0280,DOMESTIC,CH02,6100
FAB-W0281,EXPORT,CH03,7100
FAB-W0282,DOMESTIC,CH04,9100
FAB-W0283,EXPORT,CH01,6100
FAB-W0284,DOMESTIC,CH02,7100
FAB-W0285,EXPORT,CH03,9100
FAB-W0286,DOMESTIC,CH04,6100
FAB-W0287,EXPORT,CH01,7100
FAB-W0288,DOMESTIC,CH02,9100
FAB-W0289,EXPORT,CH03,6100
FAB-W0290,DOMESTIC,CH04,7100
FAB-W0291,EXPORT,CH01,9100
FAB-W0292,DOMESTIC,CH02,6100
FAB-W0293,EXPORT,CH03,7100
FAB-W0294,DOMESTIC,CH04,9100
FAB-W0295,EXPORT,CH01,6100
FAB-W0296,DOMESTIC,CH02,7100
FAB-W0297,EXPORT,CH03,9100
FAB-W0298,DOMESTIC,CH04,6100
FAB-W0299,EXPORT,CH01,7100
FAB-W0300,DOMESTIC,CH02,9100
FAB-W0301,EXPORT,CH03,6100
FAB-W0302,DOMESTIC,CH04,7100
FAB-W0303,EXPORT,CH01,9100
FAB-W0304,DOMESTIC,CH02,6100
FAB-W0305,EXPORT,CH03,7100
FAB-W0306,DOMESTIC,CH04,9100
FAB-W0307,EXPORT,CH01,6100
FAB-W0308,DOMESTIC,CH02,7100
FAB-W0309,EXPORT,CH03,9100
FAB-W0310,DOMESTIC,CH04,6100
FAB-W0311,EXPORT,CH01,7100
FAB-W0312,DOMESTIC,CH02,9100
FAB-W0313,EXPORT,CH03,6100
FAB-W0314,DOMESTIC,CH04,7100
FAB-W0315,EXPORT,CH01,9100
FAB-W0316,DOMESTIC,CH02,6100
FAB-W0317,EXPORT,CH03,7100
FAB-W0318,DOMESTIC,CH04,9100
FAB-W0319,EXPORT,CH01,6100
FAB-W0320,DOMESTIC,CH02,7100
FAB-W0321,EXPORT,CH03,9100
FAB-W0322,DOMESTIC,CH04,6100
FAB-W0323,EXPORT,CH01,7100
FAB-W0324,DOMESTIC,CH02,9100
FAB-W0325,EXPORT,CH03,6100
FAB-W0326,DOMESTIC,CH04,7100
FAB-W0327,EXPORT,CH01,9100
FAB-W0328,DOMESTIC,CH02,6100
FAB-W0329,EXPORT,CH03,7100
FAB-W0330,DOMESTIC,CH04,9100
FAB-W0331,EXPORT,CH01,6100
FAB-W0332,DOMESTIC,CH02,7100
FAB-W0333,EXPORT,CH03,9100
FAB-W0334,DOMESTIC,CH04,6100
FAB-W0335,EXPORT,CH01,7100
FAB-W0336,DOMESTIC,CH02,9100
FAB-W0337,EXPORT,CH03,6100
FAB-W0338,DOMESTIC,CH04,7100
FAB-W0339,EXPORT,CH01,9100
FAB-W0340,DOMESTIC,CH02,6100
FAB-W0341,EXPORT,CH03,7100
FAB-W0342,DOMESTIC,CH04,9100
FAB-W0343,EXPORT,CH01,6100
FAB-W0344,DOMESTIC,CH02,7100
FAB-W0345,EXPORT,CH03,9100
FAB-W0346,DOMESTIC,CH04,6100
FAB-W0347,EXPORT,CH01,7100
FAB-W0348,DOMESTIC,CH02,9100
FAB-W0349,EXPORT,CH03,6100
FAB-W0350,DOMESTIC,CH04,7100
FAB-W0351,EXPORT,CH01,9100
FAB-W0352,DOMESTIC,CH02,6100
FAB-W0353,EXPORT,CH03,7100
FAB-W0354,DOMESTIC,CH04,9100
FAB-W0355,EXPORT,CH01,6100
FAB-W0356,DOMESTIC,CH02,7100
FAB-W0357,EXPORT,CH03,9100
FAB-W0358,DOMESTIC,CH04,6100
FAB-W0359,EXPORT,CH01,7100
FAB-W0360,DOMESTIC,CH02,9100
FAB-W0361,EXPORT,CH03,6100
FAB-W0362,DOMESTIC,CH04,7100
FAB-W0363,EXPORT,CH01,9100
FAB-W0364,DOMESTIC,CH02,6100
FAB-W0365,EXPORT,CH03,7100
FAB-W0366,DOMESTIC,CH04,9100
FAB-W0367,EXPORT,CH01,6100
FAB-W0368,DOMESTIC,CH02,7100
FAB-W0369,EXPORT,CH03,9100
FAB-W0370,DOMESTIC,CH04,6100
FAB-W0371,EXPORT,CH01,7100
FAB-W0372,DOMESTIC,CH02,9100
FAB-W0373,EXPORT,CH03,6100
FAB-W0374,DOMESTIC,CH04,7100
FAB-W0375,EXPORT,CH01,9100
FAB-W0376,DOMESTIC,CH02,6100
FAB-W0377,EXPORT,CH03,7100
FAB-W0378,DOMESTIC,CH04,9100
FAB-W0379,EXPORT,CH01,6100
FAB-W0380,DOMESTIC,CH02,7100
FAB-W0381,EXPORT,CH03,9100
FAB-W0382,DOMESTIC,CH04,6100
FAB-W0383,EXPORT,CH01,7100
FAB-W0384,DOMESTIC,CH02,9100
FAB-W0385,EXPORT,CH03,6100
FAB-W0386,DOMESTIC,CH04,7100
FAB-W0387,EXPORT,CH01,9100
FAB-W0388,DOMESTIC,CH02,6100
FAB-W0389,EXPORT,CH03,7100
FAB-W0390,DOMESTIC,CH04,9100
FAB-W0391,EXPORT,CH01,6100
FAB-W0392,DOMESTIC,CH02,7100
FAB-W0393,EXPORT,CH03,9100
FAB-W0394,DOMESTIC,CH04,6100
FAB-W0395,EXPORT,CH01,7100
FAB-W0396,DOMESTIC,CH02,9100
FAB-W0397,EXPORT,CH03,6100
FAB-W0398,DOMESTIC,CH04,7100
FAB-W0399,EXPORT,CH01,9100
FAB-W0400,DOMESTIC,CH02,6100
FAB-W0401,EXPORT,CH03,7100
FAB-W0402,DOMESTIC,CH04,9100
FAB-W0403,EXPORT,CH01,6100
FAB-W0404,DOMESTIC,CH02,7100
FAB-W0405,EXPORT,CH03,9100
FAB-W0406,DOMESTIC,CH04,6100
FAB-W0407,EXPORT,CH01,7100
FAB-W0408,DOMESTIC,CH02,9100
FAB-W0409,EXPORT,CH03,6100
FAB-W0410,DOMESTIC,CH04,7100
FAB-W0411,EXPORT,CH01,9100
FAB-W0412,DOMESTIC,CH02,6100
FAB-W0413,EXPORT,CH03,7100
FAB-W0414,DOMESTIC,CH04,9100
FAB-W0415,EXPORT,CH01,6100
FAB-W0416,DOMESTIC,CH02,7100
FAB-W0417,EXPORT,CH03,9100
FAB-W0418,DOMESTIC,CH04,6100
FAB-W0419,EXPORT,CH01,7100
FAB-W0420,DOMESTIC,CH02,9100
FAB-W0421,EXPORT,CH03,6100
FAB-W0422,DOMESTIC,CH04,7100
FAB-W0423,EXPORT,CH01,9100
FAB-W0424,DOMESTIC,CH02,6100
FAB-W0425,EXPORT,CH03,7100
FAB-W0426,DOMESTIC,CH04,9100
FAB-W0427,EXPORT,CH01,6100
FAB-W0428,DOMESTIC,CH02,7100
FAB-W0429,EXPORT,CH03,9100
FAB-W0430,DOMESTIC,CH04,6100
FAB-W0431,EXPORT,CH01,7100
FAB-W0432,DOMESTIC,CH02,9100
FAB-W0433,EXPORT,CH03,6100
FAB-W0434,DOMESTIC,CH04,7100
FAB-W0435,EXPORT,CH01,9100
FAB-W0436,DOMESTIC,CH02,6100
FAB-W0437,EXPORT,CH03,7100
FAB-W0438,DOMESTIC,CH04,9100
FAB-W0439,EXPORT,CH01,6100
FAB-W0440,DOMESTIC,CH02,7100
FAB-W0441,EXPORT,CH03,9100
FAB-W0442,DOMESTIC,CH04,6100
FAB-W0443,EXPORT,CH01,7100
FAB-W0444,DOMESTIC,CH02,9100
FAB-W0445,EXPORT,CH03,6100
FAB-W0446,DOMESTIC,CH04,7100
FAB-W0447,EXPORT,CH01,9100
FAB-W0448,DOMESTIC,CH02,6100
FAB-W0449,EXPORT,CH03,7100
FAB-W0450,DOMESTIC,CH04,9100
FAB-W0451,EXPORT,CH01,6100
FAB-W0452,DOMESTIC,CH02,7100
FAB-W0453,EXPORT,CH03,9100
FAB-W0454,DOMESTIC,CH04,6100
FAB-W0455,EXPORT,CH01,7100
FAB-W0456,DOMESTIC,CH02,9100
FAB-W0457,EXPORT,CH03,6100
FAB-W0458,DOMESTIC,CH04,7100
FAB-W0459,EXPORT,CH01,9100
FAB-W0460,DOMESTIC,CH02,6100
FAB-W0461,EXPORT,CH03,7100
FAB-W0462,DOMESTIC,CH04,9100
FAB-W0463,EXPORT,CH01,6100
FAB-W0464,DOMESTIC,CH02,7100
FAB-W0465,EXPORT,CH03,9100
FAB-W0466,DOMESTIC,CH04,6100
FAB-W0467,EXPORT,CH01,7100
FAB-W0468,DOMESTIC,CH02,9100
FAB-W0469,EXPORT,CH03,6100
FAB-W0470,DOMESTIC,CH04,7100
FAB-W0471,EXPORT,CH01,9100
FAB-W0472,DOMESTIC,CH02,6100
FAB-W0473,EXPORT,CH03,7100
FAB-W0474,DOMESTIC,CH04,9100
FAB-W0475,EXPORT,CH01,6100
FAB-W0476,DOMESTIC,CH02,7100
FAB-W0477,EXPORT,CH03,9100
FAB-W0478,DOMESTIC,CH04,6100
FAB-W0479,EXPORT,CH01,7100
FAB-W0480,DOMESTIC,CH02,9100
FAB-W0481,EXPORT,CH03,6100
FAB-W0482,DOMESTIC,CH04,7100
FAB-W0483,EXPORT,CH01,9100
FAB-W0484,DOMESTIC,CH02,6100
FAB-W0485,EXPORT,CH03,7100
FAB-W0486,DOMESTIC,CH04,9100
FAB-W0487,EXPORT,CH01,6100
FAB-W0488,DOMESTIC,CH02,7100
FAB-W0489,EXPORT,CH03,9100
FAB-W0490,DOMESTIC,CH04,6100
FAB-W0491,EXPORT,CH01,7100
FAB-W0492,DOMESTIC,CH02,9100
FAB-W0493,EXPORT,CH03,6100
FAB-W0494,DOMESTIC,CH04,7100
FAB-W0495,EXPORT,CH01,9100
FAB-W0496,DOMESTIC,CH02,6100
FAB-W0497,EXPORT,CH03,7100
FAB-W0498,DOMESTIC,CH04,9100
FAB-W0499,EXPORT,CH01,6100
FAB-W0500,DOMESTIC,CH02,7100
FAB-W0501,EXPORT,CH03,9100
FAB-W0502,DOMESTIC,CH04,6100
FAB-W0503,EXPORT,CH01,7100
FAB-W0504,DOMESTIC,CH02,9100
FAB-W0505,EXPORT,CH03,6100
FAB-W0506,DOMESTIC,CH04,7100
FAB-W0507,EXPORT,CH01,9100
FAB-W0508,DOMESTIC,CH02,6100
FAB-W0509,EXPORT,CH03,7100
FAB-W0510,DOMESTIC,CH04,9100
FAB-W0511,EXPORT,CH01,6100
FAB-W0512,DOMESTIC,CH02,7100
FAB-W0513,EXPORT,CH03,9100
FAB-W0514,DOMESTIC,CH04,6100
FAB-W0515,EXPORT,CH01,7100
FAB-W0516,DOMESTIC,CH02,9100
FAB-W0517,EXPORT,CH03,6100
FAB-W0518,DOMESTIC,CH04,7100
FAB-W0519,EXPORT,CH01,9100
FAB-W0520,DOMESTIC,CH02,6100
FAB-W0521,EXPORT,CH03,7100
FAB-W0522,DOMESTIC,CH04,9100
FAB-W0523,EXPORT,CH01,6100
FAB-W0524,DOMESTIC,CH02,7100
FAB-W0525,EXPORT,CH03,9100
FAB-W0526,DOMESTIC,CH04,6100
FAB-W0527,EXPORT,CH01,7100
FAB-W0528,DOMESTIC,CH02,9100
FAB-W0529,EXPORT,CH03,6100
FAB-W0530,DOMESTIC,CH04,7100
FAB-W0531,EXPORT,CH01,9100
FAB-W0532,DOMESTIC,CH02,6100
FAB-W0533,EXPORT,CH03,7100
FAB-W0534,DOMESTIC,CH04,9100
FAB-W0535,EXPORT,CH01,6100
FAB-W0536,DOMESTIC,CH02,7100
FAB-W0537,EXPORT,CH03,9100
FAB-W0538,DOMESTIC,CH04,6100
FAB-W0539,EXPORT,CH01,7100
FAB-W0540,DOMESTIC,CH02,9100
FAB-W0541,EXPORT,CH03,6100
FAB-W0542,DOMESTIC,CH04,7100
FAB-W0543,EXPORT,CH01,9100
FAB-W0544,DOMESTIC,CH02,6100
FAB-W0545,EXPORT,CH03,7100
FAB-W0546,DOMESTIC,CH04,9100
FAB-W0547,EXPORT,CH01,6100
FAB-W0548,DOMESTIC,CH02,7100
FAB-W0549,EXPORT,CH03,9100
FAB-W0550,DOMESTIC,CH04,6100
FAB-W0551,EXPORT,CH01,7100
FAB-W0552,DOMESTIC,CH02,9100
FAB-W0553,EXPORT,CH03,6100
FAB-W0554,DOMESTIC,CH04,7100
FAB-W0555,EXPORT,CH01,9100
FAB-W0556,DOMESTIC,CH02,6100
FAB-W0557,EXPORT,CH03,7100
FAB-W0558,DOMESTIC,CH04,9100
FAB-W0559,EXPORT,CH01,6100
FAB-W0560,DOMESTIC,CH02,7100
FAB-W0561,EXPORT,CH03,9100
FAB-W0562,DOMESTIC,CH04,6100
FAB-W0563,EXPORT,CH01,7100
FAB-W0564,DOMESTIC,CH02,9100
FAB-W0565,EXPORT,CH03,6100
FAB-W0566,DOMESTIC,CH04,7100
FAB-W0567,EXPORT,CH01,9100
FAB-W0568,DOMESTIC,CH02,6100
FAB-W0569,EXPORT,CH03,7100
FAB-W0570,DOMESTIC,CH04,9100
FAB-W0571,EXPORT,CH01,6100
FAB-W0572,DOMESTIC,CH02,7100
FAB-W0573,EXPORT,CH03,9100
FAB-W0574,DOMESTIC,CH04,6100
FAB-W0575,EXPORT,CH01,7100
FAB-W0576,DOMESTIC,CH02,9100
FAB-W0577,EXPORT,CH03,6100
FAB-W0578,DOMESTIC,CH04,7100
FAB-W0579,EXPORT,CH01,9100
FAB-W0580,DOMESTIC,CH02,6100
FAB-W0581,EXPORT,CH03,7100
FAB-W0582,DOMESTIC,CH04,9100
FAB-W0583,EXPORT,CH01,6100
FAB-W0584,DOMESTIC,CH02,7100
FAB-W0585,EXPORT,CH03,9100
FAB-W0586,DOMESTIC,CH04,6100
FAB-W0587,EXPORT,CH01,7100
FAB-W0588,DOMESTIC,CH02,9100
FAB-W0589,EXPORT,CH03,6100
FAB-W0590,DOMESTIC,CH04,7100
FAB-W0591,EXPORT,CH01,9100
FAB-W0592,DOMESTIC,CH02,6100
FAB-W0593,EXPORT,CH03,7100
FAB-W0594,DOMESTIC,CH04,9100
FAB-W0595,EXPORT,CH01,6100
FAB-W0596,DOMESTIC,CH02,7100
FAB-W0597,EXPORT,CH03,9100
FAB-W0598,DOMESTIC,CH04,6100
FAB-W0599,EXPORT,CH01,7100
FAB-W0600,DOMESTIC,CH02,9100
FAB-W0601,EXPORT,CH03,6100
FAB-W0602,DOMESTIC,CH04,7100
FAB-W0603,EXPORT,CH01,9100
FAB-W0604,DOMESTIC,CH02,6100
FAB-W0605,EXPORT,CH03,7100
FAB-W0606,DOMESTIC,CH04,9100
FAB-W0607,EXPORT,CH01,6100
FAB-W0608,DOMESTIC,CH02,7100
FAB-W0609,EXPORT,CH03,9100
FAB-W0610,DOMESTIC,CH04,6100
FAB-W0611,EXPORT,CH01,7100
FAB-W0612,DOMESTIC,CH02,9100
FAB-W0613,EXPORT,CH03,6100
FAB-W0614,DOMESTIC,CH04,7100
FAB-W0615,EXPORT,CH01,9100
FAB-W0616,DOMESTIC,CH02,6100
FAB-W0617,EXPORT,CH03,7100
FAB-W0618,DOMESTIC,CH04,9100
FAB-W0619,EXPORT,CH01,6100
FAB-W0620,DOMESTIC,CH02,7100
FAB-W0621,EXPORT,CH03,9100
FAB-W0622,DOMESTIC,CH04,6100
FAB-W0623,EXPORT,CH01,7100
FAB-W0624,DOMESTIC,CH02,9100
FAB-W0625,EXPORT,CH03,6100
FAB-W0626,DOMESTIC,CH04,7100
FAB-W0627,EXPORT,CH01,9100
FAB-W0628,DOMESTIC,CH02,6100
FAB-W0629,EXPORT,CH03,7100
FAB-W0630,DOMESTIC,CH04,9100
FAB-W0631,EXPORT,CH01,6100
FAB-W0632,DOMESTIC,CH02,7100
FAB-W0633,EXPORT,CH03,9100
FAB-W0634,DOMESTIC,CH04,6100
