fabric_code,loom_code,component_code
FAB-W0278,LC-4272,Y-GEN-1271
FAB-W0279,LC-4273,Y-GEN-1272
FAB-W0280,LC-4274,Y-GEN-1273
FAB-W0281,LC-4275,Y-GEN-1274
FAB-W0282,LC-4276,Y-GEN-1275
FAB-W0283,LC-4277,Y-GEN-1276
FAB-W0284,LC-4278,Y-GEN-1277
FAB-W0285,LC-4279,Y-GEN-1278
FAB-W0286,LC-4280,Y-GEN-1279
FAB-W0287,LC-4281,Y-GEN-1280
FAB-W0288,LC-4282,Y-GEN-1281
FAB-W0289,LC-4283,Y-GEN-1282
FAB-W0290,LC-4284,Y-GEN-1283
FAB-W0291,LC-4285,Y-GEN-1284
FAB-W0292,LC-4286,Y-GEN-1285
FAB-W0293,LC-4287,Y-GEN-1286
FAB-W0294,LC-4288,Y-GEN-1287
FAB-W0295,LC-4289,Y-GEN-1288
FAB-W0296,LC-4290,Y-GEN-1289
FAB-W0297,LC-4291,Y-GEN-1290
FAB-W0298,LC-4292,Y-GEN-1291
FAB-W0299,LC-4293,Y-GEN-1292
FAB-W0300,LC-4294,Y-GEN-1293
FAB-W0301,LC-4295,Y-GEN-1294
FAB-W0302,LC-4296,Y-GEN-1295
FAB-W0303,LC-4297,Y-GEN-1296
FAB-W0304,LC-4298,Y-GEN-1297
FAB-W0305,LC-4299,Y-GEN-1298
FAB-W0306,LC-4300,Y-GEN-1299
FAB-W0307,LC-4301,Y-GEN-1300
FAB-W0308,LC-4302,Y-GEN-1301
FAB-W0309,LC-4303,Y-GEN-1302
FAB-W0310,LC-4304,Y-GEN-1303
FAB-W0311,LC-4305,Y-GEN-1304
FAB-W0312,LC-4306,Y-GEN-1305
FAB-W0313,LC-4307,Y-GEN-1306
FAB-W0314,LC-4308,Y-GEN-1307
FAB-W0315,LC-4309,Y-GEN-1308
FAB-W0316,LC-4310,Y-GEN-1309
FAB-W0317,LC-4311,Y-GEN-1310
FAB-W0318,LC-4312,Y-GEN-1311
FAB-W0319,LC-4313,Y-GEN-1312
FAB-W0320,LC-4314,Y-GEN-1313
FAB-W0321,LC-4315,Y-GEN-1314
FAB-W0322,LC-4316,Y-GEN-1315
FAB-W0323,LC-4317,Y-GEN-1316
FAB-W0324,LC-4318,Y-GEN-1317
FAB-W0325,LC-4319,Y-GEN-1318
FAB-W0326,LC-4320,Y-GEN-1319
FAB-W0327,LC-4321,Y-GEN-1320
FAB-W0328,LC-4322,Y-GEN-1321
FAB-W0329,LC-4323,Y-GEN-1322
FAB-W0330,LC-4324,Y-GEN-1323
FAB-W0331,LC-4325,Y-GEN-1324
FAB-W0332,LC-4326,Y-GEN-1325
FAB-W0333,LC-4327,Y-GEN-1326
FAB-W0334,LC-4328,Y-GEN-1327
FAB-W0335,LC-4329,Y-GEN-1328
FAB-W0336,LC-4330,Y-GEN-1329
FAB-W0337,LC-4331,Y-GEN-1330
FAB-W0338,LC-4332,Y-GEN-1331
FAB-W0339,LC-4333,Y-GEN-1332
FAB-W0340,LC-4334,Y-GEN-1333
FAB-W0341,LC-4335,Y-GEN-1334
FAB-W0342,LC-4336,Y-GEN-1335
FAB-W0343,LC-4337,Y-GEN-1336
FAB-W0344,LC-4338,Y-GEN-1337
FAB-W0345,LC-4339,Y-GEN-1338
FAB-W0346,LC-4340,Y-GEN-1339
FAB-W0347,LC-4341,Y-GEN-1340
FAB-W0348,LC-4342,Y-GEN-1341
FAB-W0349,LC-4343,Y-GEN-1342
FAB-W0350,LC-4344,Y-GEN-1343
FAB-W0351,LC-4345,Y-GEN-1344
FAB-W0352,LC-4346,Y-GEN-1345
FAB-W0353,LC-4347,Y-GEN-1346
FAB-W0354,LC-4348,Y-GEN-1347
FAB-W0355,LC-4349,Y-GEN-1348
FAB-W0356,LC-4350,Y-GEN-1349
FAB-W0357,LC-4351,Y-GEN-1350
FAB-W0358,LC-4352,Y-GEN-1351
FAB-W0359,LC-4353,Y-GEN-1352
FAB-W0360,LC-4354,Y-GEN-1353
FAB-W0361,LC-4355,Y-GEN-1354
FAB-W0362,LC-4356,Y-GEN-1355
FAB-W0363,LC-4357,Y-GEN-1356
FAB-W0364,LC-4358,Y-GEN-1357
FAB-W0365,LC-4359,Y-GEN-1358
FAB-W0366,LC-4360,Y-GEN-1359
FAB-W0367,LC-4361,Y-GEN-1360
FAB-W0368,LC-4362,Y-GEN-1361
FAB-W0369,LC-4363,Y-GEN-1362
FAB-W0370,LC-4364,Y-GEN-1363
FAB-W0371,LC-4365,Y-GEN-1364
FAB-W0372,LC-4366,Y-GEN-1365
FAB-W0373,LC-4367,Y-GEN-1366
FAB-W0374,LC-4368,Y-GEN-1367
FAB-W0375,LC-4369,Y-GEN-1368
FAB-W0376,LC-4370,Y-GEN-1369
FAB-W0377,LC-4371,Y-GEN-1370
FAB-W0378,LC-4372,Y-GEN-1371
FAB-W0379,LC-4373,Y-GEN-1372
FAB-W0380,LC-4374,Y-GEN-1373
FAB-W0381,LC-4375,Y-GEN-1374
FAB-W0382,LC-4376,Y-GEN-1375
FAB-W0383,LC-4377,Y-GEN-1376
FAB-W0384,LC-4378,Y-GEN-1377
FAB-W0385,LC-4379,Y-GEN-1378
FAB-W0386,LC-4380,Y-GEN-1379
FAB-W0387,LC-4381,Y-GEN-1380
FAB-W0388,LC-4382,Y-GEN-1381
FAB-W0389,LC-4383,Y-GEN-1382
FAB-W0390,LC-4384,Y-GEN-1383
FAB-W0391,LC-4385,Y-GEN-1384
FAB-W0392,LC-4386,Y-GEN-1385
FAB-W0393,LC-4387,Y-GEN-1386
FAB-W0394,LC-4388,Y-GEN-1387
FAB-W0395,LC-4389,Y-GEN-1388
FAB-W0396,LC-4390,Y-GEN-1389
FAB-W0397,LC-4391,Y-GEN-1390
FAB-W0398,LC-4392,Y-GEN-1391
FAB-W0399,LC-4393,Y-GEN-1392
FAB-W0400,LC-4394,Y-GEN-1393
FAB-W0401,LC-4395,Y-GEN-1394
FAB-W0402,LC-4396,Y-GEN-1395
FAB-W0403,LC-4397,Y-GEN-1396
FAB-W0404,LC-4398,Y-GEN-1397
FAB-W0405,LC-4399,Y-GEN-1398
FAB-W0406,LC-4400,Y-GEN-1399
FAB-W0407,LC-4401,Y-GEN-1400
FAB-W0408,LC-4402,Y-GEN-1401
FAB-W0409,LC-4403,Y-GEN-1402
FAB-W0410,LC-4404,Y-GEN-1403
FAB-W0411,LC-4405,Y-GEN-1404
FAB-W0412,LC-4406,Y-GEN-1405
FAB-W0413,LC-4407,Y-GEN-1406
FAB-W0414,LC-4408,Y-GEN-1407
FAB-W0415,LC-4409,Y-GEN-1408
FAB-W0416,LC-4410,Y-GEN-1409
FAB-W0417,LC-4411,Y-GEN-1410
FAB-W0418,LC-4412,Y-GEN-1411
FAB-W0419,LC-4413,Y-GEN-1412
FAB-W0420,LC-4414,Y-GEN-1413
FAB-W0421,LC-4415,Y-GEN-1414
FAB-W0422,LC-4416,Y-GEN-1415
FAB-W0423,LC-4417,Y-GEN-1416
FAB-W0424,LC-4418,Y-GEN-1417
FAB-W0425,LC-4419,Y-GEN-1418
FAB-W0426,LC-4420,Y-GEN-1419
FAB-W0427,LC-4421,Y-GEN-1420
FAB-W0428,LC-4422,Y-GEN-1421
FAB-W0429,LC-4423,Y-GEN-1422
FAB-W0430,LC-4424,Y-GEN-1423
FAB-W0431,LC-4425,Y-GEN-1424
FAB-W0432,LC-4426,Y-GEN-1425
FAB-W0433,LC-4427,Y-GEN-1426
FAB-W0434,LC-4428,Y-GEN-1427
FAB-W0435,LC-4429,Y-GEN-1428
FAB-W0436,LC-4430,Y-GEN-1429
FAB-W0437,LC-4431,Y-GEN-1430
FAB-W0438,LC-4432,Y-GEN-1431
FAB-W0439,LC-4433,Y-GEN-1432
FAB-W0440,LC-4434,Y-GEN-1433
FAB-W0441,LC-4435,Y-GEN-1434
FAB-W0442,LC-4436,Y-GEN-1435
FAB-W0443,LC-4437,Y-GEN-1436
FAB-W0444,LC-4438,Y-GEN-1437
FAB-W0445,LC-4439,Y-GEN-1438
FAB-W0446,LC-4440,Y-GEN-1439
FAB-W0447,LC-4441,Y-GEN-1440
FAB-W0448,LC-4442,Y-GEN-1441
FAB-W0449,LC-4443,Y-GEN-1442
FAB-W0450,LC-4444,Y-GEN-1443
FAB-W0451,LC-4445,Y-GEN-1444
FAB-W0452,LC-4446,Y-GEN-1445
FAB-W0453,LC-4447,Y-GEN-1446
FAB-W0454,LC-4448,Y-GEN-1447
FAB-W0455,LC-4449,Y-GEN-1448
FAB-W0456,LC-4450,Y-GEN-1449
FAB-W0457,LC-4451,Y-GEN-1450
FAB-W0458,LC-4452,Y-GEN-1451
FAB-W0459,LC-4453,Y-GEN-1452
FAB-W0460,LC-4454,Y-GEN-1453
FAB-W0461,LC-4455,Y-GEN-1454
FAB-W0462,LC-4456,Y-GEN-1455
FAB-W0463,LC-4457,Y-GEN-1456
FAB-W0464,LC-4458,Y-GEN-1457
FAB-W0465,LC-4459,Y-GEN-1458
FAB-W0466,LC-4460,Y-GEN-1459
FAB-W0467,LC-4461,Y-GEN-1460
FAB-W0468,LC-4462,Y-GEN-1461
FAB-W0469,LC-4463,Y-GEN-1462
FAB-W0470,LC-4464,Y-GEN-1463
FAB-W0471,LC-4465,Y-GEN-1464
FAB-W0472,LC-4466,Y-GEN-1465
FAB-W0473,LC-4467,Y-GEN-1466
FAB-W0474,LC-4468,Y-GEN-1467
FAB-W0475,LC-4469,Y-GEN-1468
FAB-W0476,LC-4470,Y-GEN-1469
FAB-W0477,LC-4471,Y-GEN-1470
FAB-W0478,LC-4472,Y-GEN-1471
FAB-W0479,LC-4473,Y-GEN-1472
FAB-W0480,LC-4474,Y-GEN-1473
FAB-W0481,LC-4475,Y-GEN-1474
FAB-W0482,LC-4476,Y-GEN-1475
FAB-W0483,LC-4477,Y-GEN-1476
FAB-W0484,LC-4478,Y-GEN-1477
FAB-W0485,LC-4479,Y-GEN-1478
FAB-W0486,LC-4480,Y-GEN-1479
FAB-W0487,LC-4481,Y-GEN-1480
FAB-W0488,LC-4482,Y-GEN-1481
FAB-W0489,LC-4483,Y-GEN-1482
FAB-W0490,LC-4484,Y-GEN-1483
FAB-W0491,LC-4485,Y-GEN-1484
FAB-W0492,LC-4486,Y-GEN-1485
FAB-W0493,LC-4487,Y-GEN-1486
FAB-W0494,LC-4488,Y-GEN-1487
FAB-W0495,LC-4489,Y-GEN-1488
FAB-W0496,LC-4490,Y-GEN-1489
FAB-W0497,LC-4491,Y-GEN-1490
FAB-W0498,LC-4492,Y-GEN-1491
FAB-W0499,LC-4493,Y-GEN-1492
FAB-W0500,LC-4494,Y-GEN-1493
FAB-W0501,LC-4495,Y-GEN-1494
FAB-W0502,LC-4496,Y-GEN-1495
FAB-W0503,LC-4497,Y-GEN-1496
FAB-W0504,LC-4498,Y-GEN-1497
FAB-W0505,LC-4499,Y-GEN-1498
FAB-W0506,LC-4500,Y-GEN-1499
FAB-W0507,LC-4501,Y-GEN-1500
FAB-W0508,LC-4502,Y-GEN-1501
FAB-W0509,LC-4503,Y-GEN-1502
FAB-W0510,LC-4504,Y-GEN-1503
FAB-W0511,LC-4505,Y-GEN-1504
FAB-W0512,LC-4506,Y-GEN-1505
FAB-W0513,LC-4507,Y-GEN-1506
FAB-W0514,LC-4508,Y-GEN-1507
FAB-W0515,LC-4509,Y-GEN-1508
FAB-W0516,LC-4510,Y-GEN-1509
FAB-W0517,LC-4511,Y-GEN-1510
FAB-W0518,LC-4512,Y-GEN-1511
FAB-W0519,LC-4513,Y-GEN-1512
FAB-W0520,LC-4514,Y-GEN-1513
FAB-W0521,LC-4515,Y-GEN-1514
FAB-W0522,LC-4516,Y-GEN-1515
FAB-W0523,LC-4517,Y-GEN-1516
FAB-W0524,LC-4518,Y-GEN-1517
FAB-W0525,LC-4519,Y-GEN-1518
FAB-W0526,LC-4520,Y-GEN-1519
FAB-W0527,LC-4521,Y-GEN-1520
FAB-W0528,LC-4522,Y-GEN-1521
FAB-W0529,LC-4523,Y-GEN-1522
FAB-W0530,LC-4524,Y-GEN-1523
FAB-W0531,LC-4525,Y-GEN-1524
FAB-W0532,LC-4526,Y-GEN-1525
FAB-W0533,LC-4527,Y-GEN-1526
FAB-W0534,LC-4528,Y-GEN-1527
FAB-W0535,LC-4529,Y-GEN-1528
FAB-W0536,LC-4530,Y-GEN-1529
FAB-W0537,LC-4531,Y-GEN-1530
FAB-W0538,LC-4532,Y-GEN-1531
FAB-W0539,LC-4533,Y-GEN-1532
FAB-W0540,LC-4534,Y-GEN-1533
FAB-W0541,LC-4535,Y-GEN-1534
FAB-W0542,LC-4536,Y-GEN-1535
FAB-W0543,LC-4537,Y-GEN-1536
FAB-W0544,LC-4538,Y-GEN-1537
FAB-W0545,LC-4539,Y-GEN-1538
FAB-W0546,LC-4540,Y-GEN-1539
FAB-W0547,LC-4541,Y-GEN-1540
FAB-W0548,LC-4542,Y-GEN-1541
FAB-W0549,LC-4543,Y-GEN-1542
FAB-W0550,LC-4544,Y-GEN-1543
FAB-W0551,LC-4545,Y-GEN-1544
FAB-W0552,LC-4546,Y-GEN-1545
FAB-W0553,LC-4547,Y-GEN-1546
FAB-W0554,LC-4548,Y-GEN-1547
FAB-W0555,LC-4549,Y-GEN-1548
FAB-W0556,LC-4550,Y-GEN-1549
FAB-W0557,LC-4551,Y-GEN-1550
FAB-W0558,LC-4552,Y-GEN-1551
FAB-W0559,LC-4553,Y-GEN-1552
FAB-W0560,LC-4554,Y-GEN-1553
FAB-W0561,LC-4555,Y-GEN-1554
FAB-W0562,LC-4556,Y-GEN-1555
FAB-W0563,LC-4557,Y-GEN-1556
FAB-W0564,LC-4558,Y-GEN-1557
FAB-W0565,LC-4559,Y-GEN-1558
FAB-W0566,LC-4560,Y-GEN-1559
FAB-W0567,LC-4561,Y-GEN-1560
FAB-W0568,LC-4562,Y-GEN-1561
FAB-W0569,LC-4563,Y-GEN-1562
FAB-W0570,LC-4564,Y-GEN-1563
FAB-W0571,LC-4565,Y-GEN-1564
FAB-W0572,LC-4566,Y-GEN-1565
FAB-W0573,LC-4567,Y-GEN-1566
FAB-W0574,LC-4568,Y-GEN-1567
FAB-W0575,LC-4569,Y-GEN-1568
FAB-W0576,LC-4570,Y-GEN-1569
FAB-W0577,LC-4571,Y-GEN-1570
FAB-W0578,LC-4572,Y-GEN-1571
FAB-W0579,LC-4573,Y-GEN-1572
FAB-W0580,LC-4574,Y-GEN-1573
FAB-W0581,LC-4575,Y-GEN-1574
