plant_code,report_period,loom_code,cut_weight_ppc
6100,202403,LC-4079,1.0159
6100,202404,LC-4079,1.0011
7100,202403,LC-4080,1.2856
7100,202404,LC-4080,1.3431
9100,202403,LC-4081,1.1344
9100,202404,LC-4081,1.1159
6100,202403,LC-4082,1.369
6100,202404,LC-4082,1.3741
7100,202403,LC-4083,0.7908
7100,202404,LC-4083,0.7807
9100,202403,LC-4084,1.3655
9100,202404,LC-4084,1.3594
6100,202403,LC-4085,1.1764
6100,202404,LC-4085,1.1739
7100,202403,LC-4086,0.8991
7100,202404,LC-4086,0.9394
9100,202403,LC-4087,1.338
9100,202404,LC-4087,1.3495
6100,202403,LC-4088,0.7663
6100,202404,LC-4088,0.7951
7100,202403,LC-4089,0.875
7100,202404,LC-4089,0.8998
9100,202403,LC-4090,1.481
9100,202404,LC-4090,1.5299
6100,202403,LC-4091,1.2676
6100,202404,LC-4091,1.2912
7100,202403,LC-4092,1.0223
7100,202404,LC-4092,1.0676
9100,202403,LC-4093,1.2931
9100,202404,LC-4093,1.2962
6100,202403,LC-4094,1.5568
6100,202404,LC-4094,1.5943
7100,202403,LC-4095,1.1083
7100,202404,LC-4095,1.1134
9100,202403,LC-4096,1.397
9100,202404,LC-4096,1.4293
6100,202403,LC-4097,1.1905
6100,202404,LC-4097,1.2369
7100,202403,LC-4098,0.7066
7100,202404,LC-4098,0.7383
9100,202403,LC-4099,0.7693
9100,202404,LC-4099,0.7579
6100,202403,LC-4100,0.7923
6100,202404,LC-4100,0.795
7100,202403,LC-4101,0.7261
7100,202404,LC-4101,0.7203
9100,202403,LC-4102,1.002
9100,202404,LC-4102,1.0212
6100,202403,LC-4103,1.2284
6100,202404,LC-4103,1.2659
7100,202403,LC-4104,0.7393
7100,202404,LC-4104,0.7326
9100,202403,LC-4105,0.7105
9100,202404,LC-4105,0.7249
6100,202403,LC-4106,1.316
6100,202404,LC-4106,1.3363
7100,202403,LC-4107,1.1306
7100,202404,LC-4107,1.1786
9100,202403,LC-4108,1.2289
9100,202404,LC-4108,1.2519
6100,202403,LC-4109,0.7385
6100,202404,LC-4109,0.7752
7100,202403,LC-4110,0.9675
7100,202404,LC-4110,0.9757
9100,202403,LC-4111,0.9474
9100,202404,LC-4111,0.9703
6100,202403,LC-4112,1.4615
6100,202404,LC-4112,1.4778
7100,202403,LC-4113,1.3647
7100,202404,LC-4113,1.39
9100,202403,LC-4114,0.7547
9100,202404,LC-4114,0.7699
6100,202403,LC-4115,1.3787
6100,202404,LC-4115,1.3916
7100,202403,LC-4116,0.907
7100,202404,LC-4116,0.9127
9100,202403,LC-4117,1.2654
9100,202404,LC-4117,1.2781
6100,202403,LC-4118,0.839
6100,202404,LC-4118,0.8308
7100,202403,LC-4119,1.4023
7100,202404,LC-4119,1.4397
9100,202403,LC-4120,1.3295
9100,202404,LC-4120,1.3111
6100,202403,LC-4121,1.1982
6100,202404,LC-4121,1.2566
7100,202403,LC-4122,0.8644
7100,202404,LC-4122,0.8754
9100,202403,LC-4123,1.5441
9100,202404,LC-4123,1.6042
6100,202403,LC-4124,1.3841
6100,202404,LC-4124,1.4238
7100,202403,LC-4125,1.4555
7100,202404,LC-4125,1.4345
9100,202403,LC-4126,1.2979
9100,202404,LC-4126,1.3424
6100,202403,LC-4127,0.8521
6100,202404,LC-4127,0.8772
7100,202403,LC-4128,0.7815
7100,202404,LC-4128,0.7703
9100,202403,LC-4129,1.3467
9100,202404,LC-4129,1.3712
6100,202403,LC-4130,1.573
6100,202404,LC-4130,1.5974
7100,202403,LC-4131,0.9024
7100,202404,LC-4131,0.9405
9100,202403,LC-4132,0.8932
9100,202404,LC-4132,0.8932
6100,202403,LC-4133,0.8297
6100,202404,LC-4133,0.8369
7100,202403,LC-4134,0.9262
7100,202404,LC-4134,0.9241
9100,202403,LC-4135,1.4319
9100,202404,LC-4135,1.4791
6100,202403,LC-4136,0.7949
6100,202404,LC-4136,0.8059
7100,202403,LC-4137,1.4289
7100,202404,LC-4137,1.4366
9100,202403,LC-4138,0.7897
9100,202404,LC-4138,0.8121
6100,202403,LC-4139,1.5749
6100,202404,LC-4139,1.5697
7100,202403,LC-4140,0.8805
7100,202404,LC-4140,0.8766
9100,202403,LC-4141,1.477
9100,202404,LC-4141,1.4888
6100,202403,LC-4142,1.5028
6100,202404,LC-4142,1.5196
7100,202403,LC-4143,0.8459
7100,202404,LC-4143,0.8863
9100,202403,LC-4144,1.1658
9100,202404,LC-4144,1.1981
6100,202403,LC-4145,1.3852
6100,202404,LC-4145,1.4151
7100,202403,LC-4146,1.222
7100,202404,LC-4146,1.2655
9100,202403,LC-4147,0.7171
9100,202404,LC-4147,0.7096
6100,202403,LC-4148,1.4371
6100,202404,LC-4148,1.5054
7100,202403,LC-4149,0.9811
7100,202404,LC-4149,1.0
9100,202403,LC-4150,0.9656
9100,202404,LC-4150,1.0023
6100,202403,LC-4151,1.099
6100,202404,LC-4151,1.1365
7100,202403,LC-4152,0.7979
7100,202404,LC-4152,0.784
9100,202403,LC-4153,1.1002
9100,202404,LC-4153,1.1349
6100,202403,LC-4154,1.2021
6100,202404,LC-4154,1.2232
7100,202403,LC-4155,1.0723
7100,202404,LC-4155,1.0914
9100,202403,LC-4156,1.3082
9100,202404,LC-4156,1.332
6100,202403,LC-4157,1.5955
6100,202404,LC-4157,1.5771
7100,202403,LC-4158,0.953
7100,202404,LC-4158,0.9372
9100,202403,LC-4159,1.5605
9100,202404,LC-4159,1.5626
6100,202403,LC-4160,1.464
6100,202404,LC-4160,1.4545
7100,202403,LC-4161,1.1588
7100,202404,LC-4161,1.1817
9100,202403,LC-4162,1.4847
9100,202404,LC-4162,1.4895
6100,202403,LC-4163,1.2801
6100,202404,LC-4163,1.3353
7100,202403,LC-4164,1.1251
7100,202404,LC-4164,1.1792
9100,202403,LC-4165,1.4893
9100,202404,LC-4165,1.482
6100,202403,LC-4166,1.1018
6100,202404,LC-4166,1.1348
7100,202403,LC-4167,1.1073
7100,202404,LC-4167,1.1212
9100,202403,LC-4168,1.4021
9100,202404,LC-4168,1.4564
6100,202403,LC-4169,1.2714
6100,202404,LC-4169,1.2554
7100,202403,LC-4170,1.5644
7100,202404,LC-4170,1.6279
9100,202403,LC-4171,1.3076
9100,202404,LC-4171,1.338
6100,202403,LC-4172,1.4744
6100,202404,LC-4172,1.4654
7100,202403,LC-4173,1.4103
7100,202404,LC-4173,1.4067
9100,202403,LC-4174,1.0414
9100,202404,LC-4174,1.0249
6100,202403,LC-4175,1.2118
6100,202404,LC-4175,1.2568
7100,202403,LC-4176,1.1391
7100,202404,LC-4176,1.193
9100,202403,LC-4177,1.5901
9100,202404,LC-4177,1.6558
6100,202403,LC-4178,1.5708
6100,202404,LC-4178,1.5569
7100,202403,LC-4179,1.5742
7100,202404,LC-4179,1.5576
9100,202403,LC-4180,0.9428
9100,202404,LC-4180,0.9487
6100,202403,LC-4181,1.4227
6100,202404,LC-4181,1.476
7100,202403,LC-4182,1.2569
7100,202404,LC-4182,1.3085
9100,202403,LC-4183,0.8759
9100,202404,LC-4183,0.9172
6100,202403,LC-4184,1.5279
6100,202404,LC-4184,1.5718
7100,202403,LC-4185,1.0413
7100,202404,LC-4185,1.0617
9100,202403,LC-4186,1.2408
9100,202404,LC-4186,1.2496
6100,202403,LC-4187,1.2119
6100,202404,LC-4187,1.2044
7100,202403,LC-4188,0.8766
7100,202404,LC-4188,0.8702
9100,202403,LC-4189,0.9592
9100,202404,LC-4189,0.9462
6100,202403,LC-4190,1.3854
6100,202404,LC-4190,1.4179
7100,202403,LC-4191,0.9328
7100,202404,LC-4191,0.9318
9100,202403,LC-4192,1.0893
9100,202404,LC-4192,1.1201
6100,202403,LC-4193,0.9319
6100,202404,LC-4193,0.9564
7100,202403,LC-4194,1.4094
7100,202404,LC-4194,1.4258
9100,202403,LC-4195,1.5021
9100,202404,LC-4195,1.5612
6100,202403,LC-4196,1.1475
6100,202404,LC-4196,1.1846
7100,202403,LC-4197,1.2151
7100,202404,LC-4197,1.2152
9100,202403,LC-4198,1.1593
9100,202404,LC-4198,1.1879
6100,202403,LC-4199,0.9755
6100,202404,LC-4199,1.0229
7100,202403,LC-4200,0.925
7100,202404,LC-4200,0.9698
9100,202403,LC-4201,0.7175
9100,202404,LC-4201,0.7429
6100,202403,LC-4202,1.1532
6100,202404,LC-4202,1.1908
7100,202403,LC-4203,1.1952
7100,202404,LC-4203,1.1986
9100,202403,LC-4204,0.7469
9100,202404,LC-4204,0.7518
6100,202403,LC-4205,0.9641
6100,202404,LC-4205,0.9999
7100,202403,LC-4206,0.8937
7100,202404,LC-4206,0.921
9100,202403,LC-4207,1.0192
9100,202404,LC-4207,1.0262
6100,202403,LC-4208,0.8472
6100,202404,LC-4208,0.887
7100,202403,LC-4209,1.3938
7100,202404,LC-4209,1.4321
9100,202403,LC-4210,0.7428
9100,202404,LC-4210,0.7463
6100,202403,LC-4211,1.5098
6100,202404,LC-4211,1.5155
7100,202403,LC-4212,1.5925
7100,202404,LC-4212,1.5707
9100,202403,LC-4213,1.3781
9100,202404,LC-4213,1.4085
6100,202403,LC-4214,1.1095
6100,202404,LC-4214,1.1639
7100,202403,LC-4215,1.3171
7100,202404,LC-4215,1.3425
9100,202403,LC-4216,1.0407
9100,202404,LC-4216,1.0224
6100,202403,LC-4217,1.5904
6100,202404,LC-4217,1.6277
7100,202403,LC-4218,1.0775
7100,202404,LC-4218,1.0804
9100,202403,LC-4219,1.0458
9100,202404,LC-4219,1.0307
6100,202403,LC-4220,1.0748
6100,202404,LC-4220,1.088
7100,202403,LC-4221,1.1966
7100,202404,LC-4221,1.2396
9100,202403,LC-4222,0.7637
9100,202404,LC-4222,0.775
6100,202403,LC-4223,1.1099
6100,202404,LC-4223,1.1557
7100,202403,LC-4224,1.3798
7100,202404,LC-4224,1.364
9100,202403,LC-4225,1.1939
9100,202404,LC-4225,1.1831
6100,202403,LC-4226,1.4108
6100,202404,LC-4226,1.4744
7100,202403,LC-4227,1.4436
7100,202404,LC-4227,1.4524
9100,202403,LC-4228,1.4397
9100,202404,LC-4228,1.415
6100,202403,LC-4229,1.3038
6100,202404,LC-4229,1.2794
7100,202403,LC-4230,0.8391
7100,202404,LC-4230,0.825
9100,202403,LC-4231,1.5342
9100,202404,LC-4231,1.5103
6100,202403,LC-4232,1.1072
6100,202404,LC-4232,1.0959
7100,202403,LC-4233,0.7226
7100,202404,LC-4233,0.7209
9100,202403,LC-4234,1.308
9100,202404,LC-4234,1.36
6100,202403,LC-4235,1.3749
6100,202404,LC-4235,1.4216
7100,202403,LC-4236,1.0156
7100,202404,LC-4236,1.0221
9100,202403,LC-4237,1.0892
9100,202404,LC-4237,1.1126
6100,202403,LC-4238,1.05
6100,202404,LC-4238,1.07
7100,202403,LC-4239,1.3582
7100,202404,LC-4239,1.3882
9100,202403,LC-4240,1.0262
9100,202404,LC-4240,1.0209
6100,202403,LC-4241,0.8386
6100,202404,LC-4241,0.8461
7100,202403,LC-4242,1.0575
7100,202404,LC-4242,1.0572
9100,202403,LC-4243,1.5284
9100,202404,LC-4243,1.5606
6100,202403,LC-4244,1.5311
6100,202404,LC-4244,1.5063
7100,202403,LC-4245,1.4084
7100,202404,LC-4245,1.3909
9100,202403,LC-4246,0.7443
9100,202404,LC-4246,0.7791
6100,202403,LC-4247,1.1786
6100,202404,LC-4247,1.1654
7100,202403,LC-4248,0.7944
7100,202404,LC-4248,0.7845
9100,202403,LC-4249,1.1295
9100,202404,LC-4249,1.1285
6100,202403,LC-4250,1.2964
6100,202404,LC-4250,1.3456
7100,202403,LC-4251,1.2296
7100,202404,LC-4251,1.2423
9100,202403,LC-4252,1.0565
9100,202404,LC-4252,1.0618
6100,202403,LC-4253,0.9377
6100,202404,LC-4253,0.9643
7100,202403,LC-4254,1.0253
7100,202404,LC-4254,1.0393
9100,202403,LC-4255,1.2854
9100,202404,LC-4255,1.2754
6100,202403,LC-4256,1.1013
6100,202404,LC-4256,1.1434
7100,202403,LC-4257,1.0188
7100,202404,LC-4257,1.051
9100,202403,LC-4258,1.1285
9100,202404,LC-4258,1.1251
6100,202403,LC-4259,1.2861
6100,202404,LC-4259,1.276
7100,202403,LC-4260,1.4088
7100,202404,LC-4260,1.4274
9100,202403,LC-4261,0.9252
9100,202404,LC-4261,0.9165
6100,202403,LC-4262,1.1646
6100,202404,LC-4262,1.1886
7100,202403,LC-4263,0.7205
7100,202404,LC-4263,0.726
9100,202403,LC-4264,0.9726
9100,202404,LC-4264,1.0108
6100,202403,LC-4265,1.5592
6100,202404,LC-4265,1.5986
7100,202403,LC-4266,0.9693
7100,202404,LC-4266,0.964
9100,202403,LC-4267,0.9946
9100,202404,LC-4267,0.9941
6100,202403,LC-4268,1.1861
6100,202404,LC-4268,1.2094
7100,202403,LC-4269,1.1241
7100,202404,LC-4269,1.1166
9100,202403,LC-4270,1.3639
9100,202404,LC-4270,1.3409
6100,202403,LC-4271,1.2037
6100,202404,LC-4271,1.2405
7100,202403,LC-4272,1.3098
7100,202404,LC-4272,1.3279
9100,202403,LC-4273,1.1177
9100,202404,LC-4273,1.1338
6100,202403,LC-4274,0.7475
6100,202404,LC-4274,0.7376
7100,202403,LC-4275,0.9844
7100,202404,LC-4275,0.9822
9100,202403,LC-4276,0.8194
9100,202404,LC-4276,0.836
6100,202403,LC-4277,1.5759
6100,202404,LC-4277,1.5607
7100,202403,LC-4278,1.0218
7100,202404,LC-4278,1.0526
9100,202403,LC-4279,1.2463
9100,202404,LC-4279,1.2579
6100,202403,LC-4280,1.2764
6100,202404,LC-4280,1.2639
7100,202403,LC-4281,0.8644
7100,202404,LC-4281,0.8764
9100,202403,LC-4282,0.7461
9100,202404,LC-4282,0.7769
6100,202403,LC-4283,1.1347
6100,202404,LC-4283,1.1705
7100,202403,LC-4284,1.2568
7100,202404,LC-4284,1.2527
9100,202403,LC-4285,1.1034
9100,202404,LC-4285,1.0838
6100,202403,LC-4286,1.1357
6100,202404,LC-4286,1.1354
7100,202403,LC-4287,0.9911
7100,202404,LC-4287,1.0242
9100,202403,LC-4288,1.0763
9100,202404,LC-4288,1.0798
6100,202403,LC-4289,0.9767
6100,202404,LC-4289,1.021
7100,202403,LC-4290,1.2101
7100,202404,LC-4290,1.1862
9100,202403,LC-4291,0.7507
9100,202404,LC-4291,0.7709
6100,202403,LC-4292,1.1298
6100,202404,LC-4292,1.1539
7100,202403,LC-4293,0.8976
7100,202404,LC-4293,0.9014
9100,202403,LC-4294,1.4164
9100,202404,LC-4294,1.4035
6100,202403,LC-4295,1.4946
6100,202404,LC-4295,1.5393
7100,202403,LC-4296,1.0365
7100,202404,LC-4296,1.0296
9100,202403,LC-4297,0.7682
9100,202404,LC-4297,0.774
6100,202403,LC-4298,1.4634
6100,202404,LC-4298,1.4399
7100,202403,LC-4299,1.5123
7100,202404,LC-4299,1.5855
9100,202403,LC-4300,1.4576
9100,202404,LC-4300,1.4835
6100,202403,LC-4301,1.0606
6100,202404,LC-4301,1.0933
7100,202403,LC-4302,1.4767
7100,202404,LC-4302,1.4586
9100,202403,LC-4303,0.7967
9100,202404,LC-4303,0.8056
6100,202403,LC-4304,1.115
6100,202404,LC-4304,1.1245
7100,202403,LC-4305,0.913
7100,202404,LC-4305,0.9065
9100,202403,LC-4306,0.9529
9100,202404,LC-4306,0.9989
6100,202403,LC-4307,1.5144
6100,202404,LC-4307,1.5448
7100,202403,LC-4308,1.152
7100,202404,LC-4308,1.2034
9100,202403,LC-4309,1.4686
9100,202404,LC-4309,1.461
6100,202403,LC-4310,1.4811
6100,202404,LC-4310,1.4561
7100,202403,LC-4311,1.3446
7100,202404,LC-4311,1.3315
9100,202403,LC-4312,1.3532
9100,202404,LC-4312,1.3944
6100,202403,LC-4313,1.1321
6100,202404,LC-4313,1.1226
7100,202403,LC-4314,1.0674
7100,202404,LC-4314,1.0593
9100,202403,LC-4315,0.985
9100,202404,LC-4315,1.0019
6100,202403,LC-4316,0.8065
6100,202404,LC-4316,0.8404
7100,202403,LC-4317,1.5699
7100,202404,LC-4317,1.6171
9100,202403,LC-4318,1.2123
9100,202404,LC-4318,1.1912
6100,202403,LC-4319,1.5799
6100,202404,LC-4319,1.5589
7100,202403,LC-4320,1.2397
7100,202404,LC-4320,1.2614
9100,202403,LC-4321,1.0257
9100,202404,LC-4321,1.0666
6100,202403,LC-4322,1.0143
6100,202404,LC-4322,0.9983
7100,202403,LC-4323,1.4795
7100,202404,LC-4323,1.4869
9100,202403,LC-4324,1.2609
9100,202404,LC-4324,1.2426
6100,202403,LC-4325,1.5359
6100,202404,LC-4325,1.5363
7100,202403,LC-4326,1.1929
7100,202404,LC-4326,1.2052
9100,202403,LC-4327,1.5054
9100,202404,LC-4327,1.5478
6100,202403,LC-4328,0.7983
6100,202404,LC-4328,0.833
7100,202403,LC-4329,0.9129
7100,202404,LC-4329,0.9117
9100,202403,LC-4330,1.1156
9100,202404,LC-4330,1.0947
6100,202403,LC-4331,0.7925
6100,202404,LC-4331,0.7886
7100,202403,LC-4332,1.5881
7100,202404,LC-4332,1.5739
9100,202403,LC-4333,0.713
9100,202404,LC-4333,0.7139
6100,202403,LC-4334,0.9654
6100,202404,LC-4334,0.9598
7100,202403,LC-4335,1.1821
7100,202404,LC-4335,1.169
9100,202403,LC-4336,1.4062
9100,202404,LC-4336,1.3869
6100,202403,LC-4337,0.747
6100,202404,LC-4337,0.7579
7100,202403,LC-4338,1.4975
7100,202404,LC-4338,1.5417
9100,202403,LC-4339,1.4722
9100,202404,LC-4339,1.4484
6100,202403,LC-4340,1.1309
6100,202404,LC-4340,1.1361
7100,202403,LC-4341,1.14
7100,202404,LC-4341,1.1893
9100,202403,LC-4342,1.566
9100,202404,LC-4342,1.6441
6100,202403,LC-4343,1.1223
6100,202404,LC-4343,1.1149
7100,202403,LC-4344,0.8935
7100,202404,LC-4344,0.9157
9100,202403,LC-4345,1.0779
9100,202404,LC-4345,1.0904
6100,202403,LC-4346,1.4551
6100,202404,LC-4346,1.4859
7100,202403,LC-4347,1.0511
7100,202404,LC-4347,1.039
9100,202403,LC-4348,0.8349
9100,202404,LC-4348,0.8763
6100,202403,LC-4349,1.4455
6100,202404,LC-4349,1.4707
7100,202403,LC-4350,1.427
7100,202404,LC-4350,1.4326
9100,202403,LC-4351,1.5573
9100,202404,LC-4351,1.5905
6100,202403,LC-4352,1.3309
6100,202404,LC-4352,1.3846
7100,202403,LC-4353,1.2713
7100,202404,LC-4353,1.266
9100,202403,LC-4354,1.2522
9100,202404,LC-4354,1.2709
6100,202403,LC-4355,0.862
6100,202404,LC-4355,0.8705
7100,202403,LC-4356,1.4643
7100,202404,LC-4356,1.4841
9100,202403,LC-4357,1.1263
9100,202404,LC-4357,1.1689
6100,202403,LC-4358,0.8635
6100,202404,LC-4358,0.9014
7100,202403,LC-4359,1.2608
7100,202404,LC-4359,1.2838
9100,202403,LC-4360,0.9172
9100,202404,LC-4360,0.941
6100,202403,LC-4361,1.3422
6100,202404,LC-4361,1.3656
7100,202403,LC-4362,0.7753
7100,202404,LC-4362,0.7802
9100,202403,LC-4363,1.1292
9100,202404,LC-4363,1.1349
6100,202403,LC-4364,1.1032
6100,202404,LC-4364,1.0988
7100,202403,LC-4365,1.1624
7100,202404,LC-4365,1.1732
9100,202403,LC-4366,1.363
9100,202404,LC-4366,1.4229
6100,202403,LC-4367,1.2041
6100,202404,LC-4367,1.2324
7100,202403,LC-4368,0.8032
7100,202404,LC-4368,0.7987
9100,202403,LC-4369,0.9951
9100,202404,LC-4369,1.0029
6100,202403,LC-4370,1.0631
6100,202404,LC-4370,1.0674
7100,202403,LC-4371,0.8328
7100,202404,LC-4371,0.8464
9100,202403,LC-4372,1.1139
9100,202404,LC-4372,1.1183
6100,202403,LC-4373,0.9017
6100,202404,LC-4373,0.8993
7100,202403,LC-4374,1.4257
7100,202404,LC-4374,1.4751
9100,202403,LC-4375,1.2051
9100,202404,LC-4375,1.2168
6100,202403,LC-4376,0.76
6100,202404,LC-4376,0.7965
7100,202403,LC-4377,1.5086
7100,202404,LC-4377,1.5143
9100,202403,LC-4378,1.3069
9100,202404,LC-4378,1.3599
6100,202403,LC-4379,1.1736
6100,202404,LC-4379,1.2011
7100,202403,LC-4380,1.3648
7100,202404,LC-4380,1.4036
9100,202403,LC-4381,1.3743
9100,202404,LC-4381,1.4018
6100,202403,LC-4382,1.4632
6100,202404,LC-4382,1.5133
7100,202403,LC-4383,0.9549
7100,202404,LC-4383,0.9703
9100,202403,LC-4384,1.2168
9100,202404,LC-4384,1.2444
6100,202403,LC-4385,1.4724
6100,202404,LC-4385,1.5433
7100,202403,LC-4386,0.8769
7100,202404,LC-4386,0.8673
9100,202403,LC-4387,1.12
9100,202404,LC-4387,1.124
6100,202403,LC-4388,0.944
6100,202404,LC-4388,0.9262
7100,202403,LC-4389,0.9954
7100,202404,LC-4389,1.0005
9100,202403,LC-4390,0.7359
9100,202404,LC-4390,0.7625
6100,202403,LC-4391,1.2702
6100,202404,LC-4391,1.3118
7100,202403,LC-4392,1.5331
7100,202404,LC-4392,1.532
9100,202403,LC-4393,0.8871
9100,202404,LC-4393,0.9191
6100,202403,LC-4394,1.1983
6100,202404,LC-4394,1.2263
7100,202403,LC-4395,0.9912
7100,202404,LC-4395,0.9929
9100,202403,LC-4396,0.934
9100,202404,LC-4396,0.9523
6100,202403,LC-4397,0.8127
6100,202404,LC-4397,0.8377
7100,202403,LC-4398,1.1334
7100,202404,LC-4398,1.1565
9100,202403,LC-4399,1.5886
9100,202404,LC-4399,1.6392
6100,202403,LC-4400,1.1699
6100,202404,LC-4400,1.2225
7100,202403,LC-4401,1.5492
7100,202404,LC-4401,1.5337
9100,202403,LC-4402,0.7813
9100,202404,LC-4402,0.8047
6100,202403,LC-4403,0.9854
6100,202404,LC-4403,1.0254
7100,202403,LC-4404,0.9999
7100,202404,LC-4404,1.0371
9100,202403,LC-4405,1.2418
9100,202404,LC-4405,1.297
6100,202403,LC-4406,1.528
6100,202404,LC-4406,1.581
7100,202403,LC-4407,1.4591
7100,202404,LC-4407,1.4677
